Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount,
Global Elite technologies   ,Inv 118,5/26/18,6/30/18,NBN Co,NBN A417,"MW22260-AYCA-56YKSC-2CAM-02-38 Wonga St, Canterbury",NBN New Devs,"$1,225.45",
Global Elite technologies   ,Inv 118,5/26/18,6/30/18,NBN Co,NBN A417,MW22258-AYCA-4BT0OX-2RIV-02-66 Schofields Road Schofields,NBN New Devs,$490.78,
Global Elite technologies   ,Inv 118,5/26/18,6/30/18,NBN Co,NBN A417,MW22390-AYCA-4EE89M-2RIV-04-15 Boundary Rd Box Hill,NBN New Devs,$976.93,
Qubicon,Inv 570,5/30/18,6/30/18,NBN Co,NBN A401,MW21390 - AYCA-4QG9AV - NSB - 33 Shoalhaven St Kiama Surevy & Build,NBN New Devs,"$1,120.00",
Nintey Nine Group,Inv 557,6/5/18,6/19/18,NBN Co,NBN A417,MW417R000536-2BGI-20-STELLAR NPDL_MWR (A417)-Boggabri,NBN Project Fusion,"$1,782.50",
Nintey Nine Group,Inv 557,6/5/18,6/19/18,NBN Co,NBN A417,MW417R000549 - 2MAN-20 - STELLAR NPDL_MWR (A417)-Manilla,NBN Project Fusion,"$4,926.50",
Nintey Nine Group,Inv 557,6/5/18,6/19/18,NBN Co,NBN A417,MW417R000561-2WWA-20-STELLAR NPDL_MWR (A417)-Wee Waa,NBN Project Fusion,"$2,088.50",
Nintey Nine Group,Inv 557,6/5/18,6/19/18,NBN Co,NBN A417,MW417R001247-2WLH-20-STELLAR NPDL_MWR (A417)-Walcha,NBN Project Fusion,"$2,547.50",
Nintey Nine Group,Inv 558,6/6/18,6/20/18,NBN Co,NBN A417,MW417R000180-2MIR-25-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$34,356.00",
Altus,Inv 164447,6/3/18,7/31/18,NBN Co,NBN A417,MW22309-AYCA-3V5BM6-2DRU-61-197-199 Lyons Rd Drummoyne ,NBN New Devs,$285.00,
Nintey Nine Group,Inv 559,6/12/18,6/26/18,NBN Co,NBN A417,MW417R000553-2NDS-01-STELLAR NPDL_MWR (A417)-Nords Wharf,NBN Project Fusion,"$5,136.50",
Nintey Nine Group,Inv 560,6/13/18,6/27/18,NBN Co,NBN A417,MW417R000545-2ERP-20-STELLAR NPDL_MWR (A417)-Eastern Creek,NBN Project Fusion,"$9,452.00",
Craig Comms,Inv 1803941,6/11/18,7/31/18,NBN Co,VPL New Devs,VPL New Devs 2PET-67-AYCA-4W7GEZ,NBN New Devs,"$8,902.38",
Nintey Nine Group,Inv 561,6/17/18,7/1/18,NBN Co,NBN A417,MW417R000540-2CTH-20-STELLAR NPDL_MWR (A417)-Crescent Head,NBN Project Fusion,"$9,325.25",
Comms Connect,Inv 10445,6/2/18,7/31/18,NBN Co,NBN A401,MW22477 - AYCA-4XVGZ8 -  2WYO-03 -140 Pacific Highway Tuggerah,NBN New Devs,"$2,459.07",
Comms Connect,Inv/CR 10583,6/19/18,7/31/18,NBN Co,NBN A401,MW22477 - AYCA-4XVGZ8 -  2WYO-03 -140 Pacific Highway Tuggerah,NBN New Devs,-$100.80,
Nintey Nine Group,Inv 564,6/21/18,7/5/18,NBN Co,NBN A417,MW417R000557-2POR-20-STELLAR NPDL_MWR (A417)-Portland,NBN Project Fusion,"$1,467.50",
Nintey Nine Group,Inv 563,6/21/18,7/5/18,NBN Co,NBN A417,MW417R000548-2LCT-01 - STELLAR NPDL_MWR (A417)-Lake Cathie,NBN Project Fusion,"$1,151.00",
Nintey Nine Group,Inv 562,6/21/18,7/5/18,NBN Co,NBN A417,MW417R000541-2DRG-20-STELLAR NPDL_MWR (A417)-Dorrigo ,NBN Project Fusion,"$10,256.50",
Canterbury Concil,Inv 2048203,6/22/18,7/31/18,NBN Co,VPL New Devs,VPL New Devs - 2CAM-60-AYCA-4VCIKM,NBN New Devs,"$2,695.00",
Craig Comms,Inv 1803957,6/22/18,7/31/18,NBN Co,VPL New Devs,VPL New Devs - 2PET-69-AYCA-3G34XT,NBN New Devs,"$12,873.26",
Blacktown Council,Inv 4938/19,10/22/18,11/30/18,NBN Co,NBN A417,"MW417R000098-AYCA-4TC0MT-2QUA-65-50 Farnham Rd, Quakers Hill",NBN New Devs,"$1,036.80",
Nintey Nine Group,Inv 565,6/27/18,7/11/18,NBN Co,NBN A417,MW417R000166-2MIR-31-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$12,840.00",
Nintey Nine Group,Inv 566,6/27/18,7/11/18,NBN Co,NBN A417,MW417R000558 - 2SPW-20 - STELLAR NPDL_MWR (A417)-Springwood,NBN Project Fusion,"$8,924.00",
Nintey Nine Group,Inv 567,6/27/18,7/11/18,NBN Co,NBN A417,MW417R000559 - 2SPW-21 - STELLAR NPDL_MWR (A417)-Springwood,NBN Project Fusion,"$7,472.00",
Nintey Nine Group,Inv 568,6/27/18,7/11/18,NBN Co,NBN A417,MW417R000552-2MON-28-STELLAR NPDL_MWR (A417) - Mona Vale,NBN Project Fusion,"$13,060.00",
Hills Council,Inv 1017189,6/28/18,7/31/18,NBN Co,NBN A417,MW21521-AYCA-1OHQX6 -2ROU-02-Lake Promenade - Building C- EXTERNAL,NBN New Devs,"$3,361.68",
Cylas,Inv 1144,6/26/18,7/31/18,NBN Co,NBN A417,"MW21820-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd, Strathfield Ext",NBN New Devs,$913.46,
Cylas,Inv 1143,6/29/18,7/31/18,NBN Co,NBN A417,"MW417R000098-AYCA-4TC0MT-2QUA-65-50 Farnham Rd, Quakers Hill",NBN New Devs,"$7,873.12",
Cylas,Inv 1145,6/29/18,7/31/18,NBN Co,NBN A417,MW22331-AYCA-3CFI3W-2EPP-05-120 Herring Road Marsfield,NBN New Devs,"$3,901.61",
Cylas,Inv 1146,6/29/18,7/31/18,NBN Co,NBN A417,MW22279-AYCA-45Q6J5-2EPP-62-35 Oxford St Epping,NBN New Devs,"$4,453.75",
Cylas,Inv 1147,6/29/18,7/31/18,NBN Co,NBN A417,MW22309-AYCA-3V5BM6-2DRU-61-197-199 Lyons Rd Drummoyne ,NBN New Devs,"$9,455.19",
Cylas,Inv 1148,6/29/18,7/31/18,NBN Co,NBN A417,MW22526-AYCA-4T7JU2-2MIR-25-13 Dudley Avenue Caringbah South ,NBN New Devs,"$3,866.63",
Cylas,Inv 1149,6/29/18,7/31/18,NBN Co,NBN A417,"MW22218 - AYCA-4JMOL9 - 2DRU-60 - 50-52 East St, Five Dock",NBN New Devs,"$3,140.46",
Cylas,Inv 1150,6/29/18,7/31/18,NBN Co,NBN A417,MW22195 - AYCA-4SOX62-2LIV-03- 186 Moore St Liverpool,NBN New Devs,"$3,074.00",
Cylas,Inv 1151,6/29/18,7/31/18,NBN Co,NBN A417,MW20888 - 2HOR-62 - AYCA-39AB50 -2HOR-62 -JAAN – 1,NBN New Devs,"$2,974.72",
Cylas,Inv 1152,6/29/18,7/31/18,NBN Co,NBN A417,"MW417R000222-AYCA-4VFYJV-2BAN-64-27-37 Percy St, Bankstown",NBN New Devs,"$9,921.16",
Cylas,Inv 1153,6/29/18,7/31/18,NBN Co,NBN A417,"MW417R000098-AYCA-4TC0MT-2QUA-65-50 Farnham Rd, Quakers Hill",NBN New Devs,"$8,652.34",
Comms Connect,Inv 10622,6/28/18,7/31/18,NBN Co,NBN A401,"MW22336-AYCA-4MJKV1-2KMS-21-Lot 37 Springfields Drive, Greenhill",NBN New Devs,"$3,003.86",
Comms Connect,Inv 10615,6/28/18,7/31/18,NBN Co,NBN A417,MW22301-AYCA-541Y7O-2WAU-20-728-730 Beechwood,NBN New Devs,"$4,422.17",
Michael Gale,Inv 116017,6/24/18,7/31/18,NBN Co,NBN A417,"MW417R000065- AYCA-59DV6W-2CRR-72-Nelson St, Fairfield",NBN New Devs,"$1,502.68",
Michael Gale,Inv 116018,6/24/18,7/31/18,NBN Co,NBN A417,MW417R000124-AYCA-58BKNK-2RYD-66-2-6 Junction St Ryde,NBN New Devs,"$1,932.82",
Michael Gale,Inv 116019,6/24/18,7/31/18,NBN Co,NBN A401,"MW417R000151-AYCA-4PBBAI-2RYD-01-6,8,10,12 Anderson Avenue Ryde ",NBN New Devs,"$2,229.52",
LCC,Inv 10269,7/1/18,8/31/18,NBN Co,NBN A401,MW22420 - AYCA-4RFDRV - 2KIA-03 - 58 Old Saddleback Road Kiama,NBN New Devs,"$5,530.26",
LCC,Inv 10268,7/1/18,8/31/18,NBN Co,NBN A401,MW22171-AYCA-54VFA3-2COR-02- 50 Squires Cres Coledale,NBN New Devs,"$2,366.54",
Nintey Nine Group,Inv 569,7/2/18,7/16/18,NBN Co,NBN A417,MW417R000550 - 2MIR-24 - STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$20,672.00",
Global Elite technologies   ,Inv 119,6/26/18,7/31/18,NBN Co,NBN A417,MW21524 -  AYCA-47C97W-2BLK-01 -51 Kildare Rd Blacktown,NBN New Devs,"$1,221.19",
Global Elite technologies   ,Inv 119,6/26/18,7/31/18,NBN Co,NBN A417,"MW417R000051-AYCA-55JW1J-2BOT-01-180 – 188 Maroubra Rd, Maroubra ",NBN New Devs,"$3,524.25",
Global Elite technologies   ,Inv 119,6/26/18,7/31/18,NBN Co,NBN A417,MW22055-AYCA-52ZO0L-2LID-04-32 Norval St Auburn   INT,NBN New Devs,"$1,434.40",
Global Elite technologies   ,Inv 119,6/26/18,7/31/18,NBN Co,NBN A417,MW417R000070-AYCA-52UC2N-2WRO-63-Beech Rd Casula ,NBN New Devs,"$7,183.72",
Global Elite technologies   ,Inv 119,6/26/18,7/31/18,NBN Co,NBN A417,"MW22023-AYCA-48280D - 2RED-03 -  906 Bourke St, Zetland",NBN New Devs,"$1,285.00",
Michael Gale,Inv 116105,5/14/18,6/30/18,NBN Co,NBN A417,MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields,NBN New Devs,"$1,443.94",
Michael Gale,Inv 116105,5/14/18,6/30/18,NBN Co,NBN A417,"MW22314-AYCA-4A5XPU-2BLK-11-29 Norfolk Street, Blacktown",NBN New Devs,$306.40,
Michael Gale,Inv 116105,5/14/18,6/30/18,NBN Co,NBN A417,"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills ",NBN New Devs,"$2,423.00",
Marshall Directional Drilling,Inv 1718,7/4/18,8/31/18,NBN Co,NBN A401,MW417R000671-9SCU-20-AYCA-52JYBU 7 Buggy Crescent McKellar,NBN New Devs,"$5,714.37",
Burwood Council,Inv 66128,7/6/18,8/31/18,NBN Co,NBN A417,MW22265-AYCA-4R1HNT-2MIL-62-6-8 Facey Cres Lurnea ,NBN New Devs,"$1,664.00",
AusGrid,Inv 893 897 917,7/16/18,8/31/18,NBN Co,NBN A417,"MW21820-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd, Strathfield Ext",NBN New Devs,$990.00,
Marshall Directional Drilling,Inv 1721,7/11/18,8/31/18,NBN Co,NBN A401,"MW22350-AYCA-4VAQ8P-9SCU-07-11 Prevost Pl MacGregor, ACT ",NBN New Devs,"$7,339.16",
Nintey Nine Group,Inv 571,7/11/18,7/25/18,NBN Co,NBN A417,MW417R000560 - 2SPW-28 - STELLAR NPDL_MWR (A417)-Springwood,NBN Project Fusion,"$15,876.00",
Pacific Utilities,Inv 326,7/12/18,7/26/18,NBN Co,NBN A401,MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build,NBN New Devs,"$2,528.60",
Nintey Nine Group,Inv 572,7/17/18,7/31/18,NBN Co,NBN A417,MW417R000554-2NYG-20-STELLAR NPDL_MWR (A417)-Nyngan,NBN Project Fusion,"$5,204.00",
Nintey Nine Group,Inv 573,7/17/18,7/31/18,NBN Co,NBN A417,MW417R000556-2ORC-21-STELLAR NPDL_MWR (A417)-Orchard Hills,NBN Project Fusion,"$5,404.00",
Nintey Nine Group,Inv 574,7/17/18,7/31/18,NBN Co,NBN A417,MW417R000546-2ERP-21 STELLAR NPDL_MWR (A417)- Erskine Park,NBN Project Fusion,"$1,160.00",
Michael Gale,Inv 003,7/16/18,8/31/18,NBN Co,NBN A417,"MW417R000300-AYCA-57KT5A-2PTH-02-153 Jamison Rd, Penrith",NBN New Devs,$363.36,
Michael Gale,Inv 004,7/16/18,8/31/18,NBN Co,NBN A417,"MW417R000397-AYCA-5BX3DW-2NEW-23-7-9 Hutchinson St, St Peters - 1",NBN New Devs,"$1,252.48",
Comms Connect,Inv 10584,7/19/18,8/31/18,NBN Co,VPL New Devs,VPL New Devs - 2BRX-01-AYCA-41AL6Q,NBN New Devs,"$101,277.70",
Comms Connect,Inv 10672,7/26/18,8/31/18,NBN Co,VPL New Devs,VPL New Devs - 2BRX-01-AYCA-41AL6Q,NBN New Devs,"$3,388.00",
Altus,Inv 172342,7/22/18,8/31/18,NBN Co,NBN A417,MW22531-AYCA-413Z64-2PAR-64-2B Darcy Rd Westmead ,NBN New Devs,$905.59,
Altus,Inv 172341,7/22/18,8/31/18,NBN Co,NBN A417,MW21532-AYCA-4TBHNX - 2SHH-05 - NSB - 125 LAKE ENTRANCE - SURVEY,NBN New Devs,"$2,387.68",
Michael Gale,Inv 007,7/24/18,8/31/18,NBN Co,NBN A417,"MW417R000310--AYCA-5DPOWN-2APN-01-13 Technology Dr, Appin EXT",NBN New Devs,"$3,366.72",
Michael Gale,Inv 008,7/24/18,8/31/18,NBN Co,NBN A417,"MW417R000310--AYCA-5DPOWN-2APN-01-13 Technology Dr, Appin EXT",NBN New Devs,"$4,510.41",
Michael Gale,Inv 0010,7/24/18,8/31/18,NBN Co,NBN A417,MW22263-AYCA-31DCKF-2EAS-62-18-20 Neild Ave Darlinghurst,NBN New Devs,$912.26,
Michael Gale,Inv 0011,7/24/18,8/31/18,NBN Co,NBN A417,"MW417R000300-AYCA-57KT5A-2PTH-02-153 Jamison Rd, Penrith",NBN New Devs,$489.20,
Michael Gale,Inv 0012,7/24/18,8/31/18,NBN Co,NBN A417,MW22532-AYCA-55KUFO-2MIR-22-31 Bay Road Taren Point ,NBN New Devs,"$2,463.42",
Michael Gale,Inv 0009,7/24/18,8/31/18,NBN Co,NBN A417,MW22505-AYCA-4KBL5R-2KNS-03-14-18 Primrose Ave & 27-29 Roseberry Ave Rosberry ,NBN New Devs,"$1,373.65",
Canterbury Concil,Inv 2049319,9/12/18,10/12/18,NBN Co,NBN A417,"MW417R000454 - AYCA-4V7F3M - 2LAK-22 - 23 Willeroo St, Lakemba",NBN New Devs,$762.75,
Comms Connect,Inv 10671,7/27/18,8/31/18,NBN Co,NBN A401,MW21532-AYCA-4TBHNX - 2SHH-05 - NSB - 125 LAKE ENTRANCE - SURVEY,NBN New Devs,"$2,011.12",
Cylas,Inv 1166,7/30/18,8/31/18,NBN Co,NBN A417,MW22548-AYCA-48V6NM-2PTH-05-Lord Sheffield Circuit Penrith,NBN New Devs,"$8,478.63",
Cylas,Inv 1167,7/30/18,8/31/18,NBN Co,NBN A417,"MW22057 - AYCA-4EOA07-2MIR-24 - 298-300 Taren Point Rd, Caringbah",NBN New Devs,"$1,080.10",
Cylas,Inv 1168,7/30/18,8/31/18,NBN Co,NBN A417,"MW417R000218-AYCA-34MTV2-2BUR-07-133 Parramatta Rd, Homebush",NBN New Devs,"$2,484.25",
Cylas,Inv 1169,7/30/18,8/31/18,NBN Co,NBN A417,"MW417R000346-AYCA-57CH4J-2CRO-01-8/268A Captain Cook Dr, Kurnell",NBN New Devs,"$2,092.30",
Cylas,Inv 1170,7/30/18,8/31/18,NBN Co,NBN A417,MW417R000354-AYCA-57CAFW-2CRO-01-KURNELL 2,NBN New Devs,$991.13,
Cylas,Inv 1171,7/30/18,8/31/18,NBN Co,NBN A417,"MW417R000223 - AYCA-5ALZB0 - 2BLK-07 - 6 Woods CL, Huntingwood  Ext",NBN New Devs,"$5,337.83",
Cylas,Inv 1172,7/30/18,8/31/18,NBN Co,NBN A417,MW22513 - AYCA-4JW63S - 2CRO-21 - 25-29 Tonkin St Cronulla,NBN New Devs,"$2,685.67",
Cylas,Inv 1173,7/30/18,8/31/18,NBN Co,NBN A417,"MW22023-AYCA-48280D - 2RED-03 -  906 Bourke St, Zetland",NBN New Devs,"$10,269.27",
Cylas,Inv 1174,7/30/18,8/31/18,NBN Co,NBN A417,"MW417R000395 - AYCA-56PP6W-2BAN-67-55-57 Chelmsford Ave, Bankstown",NBN New Devs,"$4,454.87",
Cylas,Inv 1175,7/30/18,8/31/18,NBN Co,NBN A417,"MW417R000211-AYCA-56B97M-2SEF-61-1 Tangerine St, Fairfield East",NBN New Devs,"$2,694.03",
Cylas,Inv 1176,7/30/18,8/31/18,NBN Co,NBN A417,MW22505-AYCA-4KBL5R-2KNS-03-14-18 Primrose Ave & 27-29 Roseberry Ave Rosberry ,NBN New Devs,"$4,029.22",
Cylas,Inv 1177,7/30/18,8/31/18,NBN Co,NBN A417,MW22469-AYCA-4PQO3D-2EPP-62-12/6 Maida Road Epping ,NBN New Devs,"$2,546.16",
Altus,Inv 173344,7/29/18,8/31/18,NBN Co,NBN A417,MW22263-AYCA-31DCKF-2EAS-62-18-20 Neild Ave Darlinghurst,NBN New Devs,"$1,053.51",
Nintey Nine Group,Inv 576,7/30/18,8/13/18,NBN Co,NBN A417,"MW417R000157-AYCA-4A46K7-2PAR-63-208-210 Great Western Hwy, Westmead DFN Design & Construct",NBN New Devs DFN HFC,"$8,454.06",
Cylas,Inv 1179,7/30/18,8/31/18,NBN Co,NBN A417,"MW417R000346-AYCA-57CH4J-2CRO-01-8/268A Captain Cook Dr, Kurnell",NBN New Devs,$406.20,
Cylas,Inv 1179,7/30/18,8/31/18,NBN Co,NBN A417,"MW417R000222-AYCA-4VFYJV-2BAN-64-27-37 Percy St, Bankstown",NBN New Devs,"$1,171.48",
Cylas,Inv 1179,7/30/18,8/31/18,NBN Co,NBN A417,MW417R000354-AYCA-57CAFW-2CRO-01-KURNELL 2,NBN New Devs,"$2,075.55",
Altus,Inv 174110,8/5/18,9/30/18,NBN Co,NBN A401,"MW417R000338-AYCA-54NU37-9KBA-20-427-177 Newman-Morris Circuit, Oxley, ACT",NBN New Devs,$200.00,
OSGA,Inv 201801,7/31/18,8/31/18,NBN Co,NBN Project Fusion,MW417R000170-2MIR-22-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$10,985.00",
OSGA,Inv 201803,7/31/18,8/31/18,NBN Co,NBN Project Fusion,MW417R000180-2MIR-25-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$47,005.00",
OSGA,Inv 201802,7/31/18,8/31/18,NBN Co,NBN Project Fusion,MW417R001248-2MIR-21-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$7,252.00",
Altus,Inv 169332,7/1/18,8/31/18,NBN Co,NBN A417,"MW21878-AYCA-2Q0B3G-2PAR-63-148-150 Great Western Hwy, Westmead",NBN New Devs,$477.28,
Ablas Construction,Inv 001,8/10/18,9/30/18,NBN Co,NBN A417,MW417R000893-AYCA-59DV6W - 2CRR-72-Carramar HFC DFN,NBN New Devs DFN HFC,"$4,811.40",
Altus,Inv 173344,7/29/18,8/31/18,NBN Co,NBN A417,MW22263-AYCA-31DCKF-2EAS-62-18-20 Neild Ave Darlinghurst,NBN New Devs,"$1,053.51",
Comms Connect,Inv 10735,8/14/18,9/30/18,NBN Co,NBN A401,"MW417R000141-AYCA-4UXA3J-2ERN-03-1 and 4 Fox Glove Close, Green",NBN New Devs,"$9,198.20",
Hornsby Council,Inv 1894,8/6/18,9/30/18,PipeNetworks,Various,Hornsby Project,Various,"$5,292.00",
KSJDA,Inv 18/1271,8/19/18,9/30/18,NBN Co,NBN A401,MW417R000148-AYCA-4Z992M-2LIS-21-2A Napier St Goonellabah; 17 Blue Hills Ave Goonellabah,NBN New Devs,"$10,881.50",
Michael Gale,Inv 0005,7/24/18,8/31/18,NBN Co,NBN A417,"MW417R000346-AYCA-57CH4J-2CRO-01-8/268A Captain Cook Dr, Kurnell",NBN New Devs,$280.80,
Michael Gale,Inv 002,7/16/18,8/31/18,NBN Co,NBN A417,MW22346-AYCA-50FP2M-2ROU-03-Oxlade Street Kellyville,NBN New Devs,$219.98,
Michael Gale,Inv 001,7/16/18,8/31/18,NBN Co,NBN A417,MW22346-AYCA-50FP2M-2ROU-03-Oxlade Street Kellyville,NBN New Devs,"$1,983.32",
Michael Gale,Inv 006,7/16/18,8/31/18,NBN Co,NBN A417,MW417R000354-AYCA-57CAFW-2CRO-01-KURNELL 2,NBN New Devs,$284.32,
Nintey Nine Group,Inv 579,8/20/18,9/3/18,NBN Co,NBN A417,MW417R000893-AYCA-59DV6W - 2CRR-72-Carramar HFC DFN,NBN New Devs,"$1,500.00",
Michael Gale,Inv 0016,8/23/18,9/30/18,NBN Co,NBN A417,"MW417R000502-AYCA-4UMUPA-2KEL-07-21 Fairway Dr, Kellyville",NBN New Devs,"$3,891.27",
Marshall Directional Drilling,Inv 1746,8/22/18,9/30/18,NBN Co,NBN A401,"MW417R000338-AYCA-54NU37-9KBA-20-427-177 Newman-Morris Circuit, Oxley, ACT",NBN New Devs,"$6,400.00",
Nintey Nine Group,Inv 581,8/22/18,9/5/18,NBN Co,NBN A417,MW417R001125-2BMG-20-STELLAR NPDL Bermagui,NBN Project Fusion,"$10,854.25",
