Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount
Albas Constrcution,Inv 037,21/03/2019,30/04/2019,NBN Co,NBN A417,MW417R002916-AYCA-49ZOSX - 2ROC-60-CIE GROUP HK-HFC DFN,NBN New Devs DFN HFC,"$11,305.12"
Albas Constrcution,Inv 038,21/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002072 - AYCA-5G4WE4 - 2MON-20 - 1473 Pittwater Road, North Narrabeen ",NBN New Devs,"$2,868.22"
Albas Constrcution,Inv 039,21/03/2019,30/04/2019,NBN Co,NBN A417,MW417R002226-AYCA-4PEEEK - 2RYD-63- 17-21 Ryedale Rdm West Ryde  HFC DFN,NBN New Devs DFN HFC,"$11,135.58"
Albas Constrcution,Inv 040,21/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002470-AYCA-5E7TWE-2MEN-60-37-39 Barden Rd, Barden Ridge HFC DFN",NBN New Devs DFN HFC,"$26,458.61"
Hornsby Council,Inv 2704964,21/03/2019,30/04/2019,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,"$8,717.28"
Worksafe,Inv 725,21/03/2019,30/04/2019,NBN Co,NBN A417,MW417R000161-AYCA-3D0J11-2ROC-02-15-21 Willis St Wolli Creek ,NBN New Devs,$383.92
Worksafe,Inv 724,21/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",NBN New Devs DFN HFC,"$1,060.03"
Worksafe,Inv 726,21/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",NBN New Devs DFN HFC,$632.42
Worksafe,Inv 727,21/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",NBN New Devs DFN HFC,$662.80
KSJDA,Inv 19/1411,22/03/2019,30/04/2019,NBN Co,NBN A401,"MW417R002745-AYCA-5HY3IQ-2KYO-20-Stratheden Street, Kyogle",NBN New Devs,"$1,667.94"
KSJDA,Inv 19/1412,23/03/2019,30/04/2019,NBN Co,NBN A417,MW417R002209-AYCA-5T4J9J-2WAU-21-39 - 41 Production Ave Wauchope NSB,NBN New Devs,"$4,435.00"
Tactix Civil,Inv 059,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R000605 - AYCA-4XR9F8 -2ROU-02 -  320 Annangrove Rd, Rouse Hill",NBN New Devs,"$6,136.62"
Tactix Civil,Inv 060,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001980-AYCA-5M4R4N-2SHA-64-76 Irwin Street, Werrington ",NBN New Devs,"$2,234.68"
Tactix Civil,Inv 061,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R000518-AYCA-2V9V2D-2HOR-63-2 Cowan Road & 540A-542 Pacific Highway, Mount Colah",NBN New Devs,"$1,221.34"
Tactix Civil,Inv 062,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002725-AYCA-57JCRY-2GRA-63-27a, 31, 33 & 35 Louis Street,Granville",NBN New Devs,$936.28
Tactix Civil,Inv 063,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",NBN New Devs,$675.95
Tactix Civil,Inv 064,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002552-AYCA-4C0Z5Y - 2ROS-66-554-564 Old South Head Rd, Rose Bay",NBN New Devs,"$1,312.68"
Tactix Civil,Inv 065,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002072 - AYCA-5G4WE4 - 2MON-20 - 1473 Pittwater Road, North Narrabeen ",NBN New Devs,$919.42
Tactix Civil,Inv 066,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002435-AYCA-5BOGUB-2RED-01-11B Lachlan St, Waterloo EXT",NBN New Devs,"$2,247.93"
Tactix Civil,Inv 067,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002563 - 2NRN-05 - AYCA-5FCHOB - 23 Grahams Hill Road, Narellan",NBN New Devs,$949.86
Tactix Civil,Inv 068,24/03/2019,30/04/2019,NBN Co,NBN A417,MW417R000159-AYCA-4EZRCH-2MIR-26-1-3 Higherdale Ave Miranda,NBN New Devs,"$1,128.72"
Tactix Civil,Inv 069,24/03/2019,30/04/2019,NBN Co,NBN A417,MW21875 - AYCA-42N8QF-  2PEN-67- Macklin 38 ,NBN New Devs,$932.25
Tactix Civil,Inv 070,24/03/2019,30/04/2019,NBN Co,NBN A417,MW417R002226-AYCA-4PEEEK - 2RYD-63- 17-21 Ryedale Rdm West Ryde  HFC DFN,NBN New Devs DFN HFC,"$1,793.54"
Tactix Civil,Inv 071,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001916-AYCA-4DW3WX-2HOR-62-18-22 Lords Ave + 421-425 Pacific Hwy, Asquith",NBN New Devs,"$1,753.86"
Tactix Civil,Inv 072,24/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R000462-AYCA-328OYF-2CBT-05-37-41 Chamberlain St, Campbelltown",NBN New Devs,"$3,414.36"
Craig Comms,Inv 45810-21,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R000238-AYCA-52OEM0-2MON-25-33 Darley St, East, Mona Vale",NBN New Devs,"$1,534.79"
Craig Comms,Inv 45810-22,25/03/2019,30/04/2019,NBN Co,NBN A417,MW417R003246-AYCA-5SPCV6-2BOT-61-51 Chester Avenue Maroubra HFC DFN,NBN New Devs,
Craig Comms,Inv 45810-23,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R003230-AYCA-5MELWX-2BOT-62-Lot 3,4,5 & 6 Denison Street Banksmeadow HFC DFN",NBN New Devs,
Craig Comms,Inv 45810-24,25/03/2019,30/04/2019,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,"$2,034.20"
Craig Comms,Inv 45810-25,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001793-AYCA-4WB37J-2FRE-61-36 Pringle Ave, Belrose HFC DFN",NBN New Devs DFN HFC,"$28,170.09"
Craig Comms,Inv 45810-26,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001849 - AYCA-562Y8R - 2APN-01 - 900 Wilton Rd, Appin ",NBN New Devs,$979.65
Craig Comms,Inv 45810-28,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002563 - 2NRN-05 - AYCA-5FCHOB - 23 Grahams Hill Road, Narellan",NBN New Devs,$326.55
Craig Comms,Inv 45810-27,25/03/2019,30/04/2019,NBN Co,NBN A417,MW417R002399-AYCA-EV5EP-2DAP-01-Smiths Lane Wongawilli ,NBN New Devs,$718.41
Mega Cabling Solutions,Inv 01802,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002792-AYCA-5JQV6N 2BAN-62-265 Hume Highway, Greenacre HFC DFN-Design NDD",NBN New Devs DFN HFC,"$2,745.89"
Mega Cabling Solutions,Inv 01803,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002570-AYCA-4XIVYZ-HFC DFN-2UND-62-236-238 ILLAWARRA RD, MARRICKVILLE",NBN New Devs DFN HFC,$779.38
Mega Cabling Solutions,Inv 1804,25/03/2019,30/04/2019,NBN Co,NBN A417,MW417R002938-AYCA-52ZW78-2STL-60-Atchison Street HFC DFN,NBN New Devs DFN HFC,"$2,195.84"
Worksafe,Inv 2PAR-60_20190325,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002360 - AYCA-54N6L7 - 2PAR-60 - 104 - 108 Bridge Rd, Westmead",NBN New Devs,$797.69
Worksafe,Inv 2PEN-61_20190325,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",NBN New Devs DFN HFC,"$21,197.29"
Worksafe,Inv 2RED-01_20190325,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002435-AYCA-5BOGUB-2RED-01-11B Lachlan St, Waterloo EXT",NBN New Devs,$226.40
Worksafe,Inv 2RYD-63_20190325,25/03/2019,30/04/2019,NBN Co,NBN A417,MW417R002226-AYCA-4PEEEK - 2RYD-63- 17-21 Ryedale Rdm West Ryde  HFC DFN,NBN New Devs DFN HFC,"$9,475.78"
Worksafe,Inv 2UND62_20190325,25/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002570-AYCA-4XIVYZ-HFC DFN-2UND-62-236-238 ILLAWARRA RD, MARRICKVILLE",NBN New Devs DFN HFC,"$2,748.56"
Comms Connect,Inv 11747,26/03/2019,30/04/2019,NBN Co,NBN A401,"MW417R002747-AYCA-5FJLCJ-2KMS-20-476 Macleay Valley Way, South Kempsey",NBN New Devs,"$3,554.95"
Albas Constrcution,Inv 041,27/03/2019,30/04/2019,NBN Co,NBN A417,ND-NSW-2SEF-61-AYCA-4Q1RMX-Wood -1-HFC-DFN,Minor Works HFC DFN,"$18,395.92"
Built,Inv 200834/0100,27/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002412 - AYCA-47STWW -  2CYS-11 -130 Elizabeth St, Sydney",NBN New Devs,"$10,308.60"
Nintey Nine Group,Inv 0666,27/03/2019,10/04/2019,NBN Co,NBN A417,MW417R001986-AYCA-52VCLT-2NEW-20-Annandale Place - ,NBN New Devs,"$7,340.46"
Nintey Nine Group,Inv 0667,27/03/2019,10/04/2019,NBN Co,Minor Works Maximo,2EAS-67-Node Split,NBN New Devs,"$1,500.00"
Nintey Nine Group,Inv 0667,27/03/2019,10/04/2019,NBN Co,Minor Works Maximo,2STL-65-Node Split,NBN New Devs,"$1,500.00"
Nintey Nine Group,Inv 0667,27/03/2019,10/04/2019,NBN Co,Minor Works Maximo,ND-NSW-2SEF-61-AYCA-4Q1RMX-Wood -1-HFC-DFN,NBN New Devs DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 0668,27/03/2019,10/04/2019,NBN Co,NBN A417,"MW417R003339-AYCA-4XC850-2PTH-05-50-54 Rodley Ave, Penrith Transformation",NBN New Devs Transformation,$650.00
Nintey Nine Group,Inv 0668,27/03/2019,10/04/2019,NBN Co,NBN A417,"MW417R003418 - AYCA-5EJRTN - 2CAM-02 - 31-31A Perry St, Campsie Transformation",NBN New Devs Transformation,$650.00
Nintey Nine Group,Inv 0668,27/03/2019,10/04/2019,NBN Co,NBN A417,"MW417R003415 - AYCA-5IOF6P - 2BAN-60 - 120 Hume Highway, Chullora Transformation",NBN New Devs Transformation,$650.00
Nintey Nine Group,Inv 0669,27/03/2019,10/04/2019,NBN Co,Minor Works Maximo,2EAS-67-Node Split,NBN New Devs,"$1,100.00"
Nintey Nine Group,Inv 0669,27/03/2019,10/04/2019,NBN Co,Minor Works Maximo,2STL-65-Node Split,NBN New Devs,"$1,100.00"
Nintey Nine Group,Inv 0670,27/03/2019,10/04/2019,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,"$1,867.00"
Comms Connect,Inv 11773,28/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002554 - AYCA-5M84RG - 2CFS-02 - 72 Boultwood Street, Coffs Harbour",NBN New Devs,"$2,883.05"
KSJDA,Inv 19/1415,28/03/2019,30/04/2019,NBN Co,NBN A417,MW417R000845-AYCA-5KAX1D -2MDG-01- 20 Burrundulla Ave Mudgee NSB,NBN New Devs,"$28,393.89"
KSJDA,Inv 19/1414,28/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002896-AYCA-5NB7OP-2CHL-08-83 Redhead Road, Redhead",NBN New Devs,"$3,244.81"
VS Connect,Inv 1056,28/03/2019,30/04/2019,NBN Co,NBN A417,MW417R003265-2TUH-20-MELLAR,NBN Project Fusion,"$2,362.30"
VS Connect,Inv 1057,28/03/2019,30/04/2019,NBN Co,NBN A417,MW417R003262-2MYA-01-MELLAR NPDL-Moruya,NBN Project Fusion,"$3,615.80"
VS Connect,Inv 1058,28/03/2019,30/04/2019,NBN Co,NBN A417,MW417R003261-2KRI-01-MELLAR NPDL_MWR (A417),NBN Project Fusion,"$1,428.00"
VS Connect,Inv 1059,28/03/2019,30/04/2019,NBN Co,NBN A417,MW417R003243-AYCA-5WHZHM-2SUX-01-Jacobs Dr Sussex-NSB,NBN New Devs,"$1,247.40"
VS Connect,Inv 1060,28/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R003422-AYCA-63B4XW-2MIR-27-65A PARTHENIA ST, DOLANS BAY ",Business Segment,$750.00
VS Connect,Inv 1062,28/03/2019,30/04/2019,NBN Co,NBN A417,SERV-2LIV-06-L0130,NBN Project Fusion,$780.00
Albas Constrcution,Inv 031,29/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002563 - 2NRN-05 - AYCA-5FCHOB - 23 Grahams Hill Road, Narellan",NBN New Devs,"$3,556.53"
Teleaus,Inv 6672,29/03/2019,30/04/2019,NBN Co,NBN A417,MW417R003233-AYCA-4ZHXIF-2KIL-62-8 Buckingham-HFC DFN,NBN New Devs DFN HFC,"$6,851.33"
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,Minor Works Maximo,ND-NSW-2SEF-61-AYCA-4Q1RMX-Wood -1-HFC-DFN,NBN New Devs DFN HFC,"$1,100.00"
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,NBN A417,MW417R003379-AYCA-4HLUIU-2PYM-62-1454 Pacific Hwy Turramurra HFC DFN,NBN New Devs DFN HFC,"$1,100.00"
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,NBN A417,ND-NSW-2EAS-63-AYCA-4BZSR3-HammondCare Darlinghurst - 1-HFC-DFN,NBN New Devs DFN HFC,"$1,100.00"
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R003284-AYCA-5T15312-2NEW-60-293 Princes Highway, Saint Peters",NBN New Devs,$550.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BRG-01-AYCA-4Z5838-10 & 20 Seventeenth Ave, Austral - 2",NBN New Devs Transformation,$550.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,Minor Works Maximo,ND-NSW-2HOR-24-AYCA-4YTCRX-The Orchard-1- TTFN,NBN New Devs Transformation,$550.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,Minor Works Maximo,ND-NSW-2ASH-62-AYCA-5ZUB5A-Cardinal Freeman Village-3B-TTFN,NBN New Devs Transformation,$550.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,Minor Works Maximo,ND-NSW-2ASH-62-AYCA-5ZUB5A-Cardinal Freeman Village-3B-TTFN,NBN New Devs Transformation,$750.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R003247-AYCA-5V4B6P-2COR-09-53 Russell Street, Balgownie Ext Transformation",NBN New Devs Transformation,$600.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R003285-AYCA-5NKJJY-2CRO-24-25 Judd Street, Cronulla Transformation",NBN New Devs Transformation,$600.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R003288 - AYCA-5L1XWG - 2LIV-67 - 365 Hume Highway, Liverpool Transformation",NBN New Devs Transformation,$600.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R003241-AYCA-52CPTI-2HOR-63--6-8 Cowan Rd, Mount Colah Transformation",NBN New Devs Transformation,$600.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R003284-AYCA-5T15312-2NEW-60-293 Princes Highway, Saint Peters",NBN New Devs,$600.00
Teleaus,Inv PC0002,29/03/2019,30/04/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BRG-01-AYCA-4Z5838-10 & 20 Seventeenth Ave, Austral - 2",NBN New Devs Transformation,$600.00
Albas Constrcution,Inv 042,30/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001980-AYCA-5M4R4N-2SHA-64-76 Irwin Street, Werrington ",NBN New Devs,"$2,742.24"
Albas Constrcution,Inv 043,30/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002072 - AYCA-5G4WE4 - 2MON-20 - 1473 Pittwater Road, North Narrabeen ",NBN New Devs,"$2,311.42"
Albas Constrcution,Inv 044,30/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002737-AYCA-5HZXRM-2SHA-64-88 Reid Street, Werrington County HFC DFN",Minor Works HFC DFN,"$2,970.40"
Albas Constrcution,Inv 045,30/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R001667 - AYCA-55XM3V - 2HBD-20 -10-12 Roger St, Brookvale",NBN New Devs,"$2,387.09"
Albas Constrcution,Inv 046,30/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002563 - 2NRN-05 - AYCA-5FCHOB - 23 Grahams Hill Road, Narellan",NBN New Devs,"$3,215.20"
Albas Constrcution,Inv 046,30/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002563 - 2NRN-05 - AYCA-5FCHOB - 23 Grahams Hill Road, Narellan",NBN New Devs,"$3,215.20"
Mega Cabling Solutions,Inv 1808,31/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002570-AYCA-4XIVYZ-HFC DFN-2UND-62-236-238 ILLAWARRA RD, MARRICKVILLE",NBN New Devs DFN HFC,"$2,404.68"
Mega Cabling Solutions,Inv 1807,31/03/2019,30/04/2019,NBN Co,Minor Works Maximo,2UND-60-Node Split,NBN Node Split DFN HFC,$676.08
Smart Scan Locations,Inv 0382,31/03/2019,30/04/2019,NBN Co,NBN A417,"MW417R002435-AYCA-5BOGUB-2RED-01-11B Lachlan St, Waterloo EXT",NBN New Devs,$620.00
Teleaus,Inv 1622,31/03/2019,30/04/2019,NBN Co,NBN A417,Design Overhead,Design Overhead,"$8,820.00"
OSGA,Inv 201856,01/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2EAS-63-AYCA-4BZSR3-HammondCare Darlinghurst - 1-HFC-DFN,NBN New Devs DFN HFC,"$4,392.24"
Nintey Nine Group,Inv 0672,02/04/2019,16/04/2019,NBN Co,NBN A417,"MW417R003230-AYCA-5MELWX-2BOT-62-Lot 3,4,5 & 6 Denison Street Banksmeadow HFC DFN",NBN New Devs DFN HFC,"$6,100.00"
Nintey Nine Group,Inv 0672,02/04/2019,16/04/2019,NBN Co,NBN A417,MW417R002938-AYCA-52ZW78-2STL-60-Atchison Street HFC DFN,NBN New Devs DFN HFC,"$2,250.00"
Vac Group,Inv 66580,02/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,"$1,542.75"
Pacific Utilities,Inv 0031,05/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002564-AYCA-512UVL-2WYO-03-Marineres Centre of Excellence - BUILD,NBN New Devs,"$2,482.20"
FibreSole,Inv 0009,07/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002570-AYCA-4XIVYZ-HFC DFN-2UND-62-236-238 ILLAWARRA RD, MARRICKVILLE",NBN New Devs DFN HFC,"$8,284.00"
ACT Contracting,Inv 2755,08/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001665-AYCA-53R6D6-9BLC-04-Nest 3 ,NBN New Devs,"$1,679.40"
Nintey Nine Group,Inv 673,09/04/2019,23/04/2019,NBN Co,Minor Works Maximo,ND-NSW-2RYD-64-AYCA-4P5T6R-Ryde Calibre-1-HFC-DFN,NBN Node Split DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 673,09/04/2019,23/04/2019,NBN Co,Minor Works Maximo,ND-NSW-2CAR-61-AYCA-4ATRUK -North Rocks Gardens - 1-HFC-DFN ,NBN New Devs DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 673,09/04/2019,23/04/2019,NBN Co,Minor Works Maximo,2BAL-62 Node Split,NBN Node Split DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 673,09/04/2019,23/04/2019,NBN Co,Minor Works Maximo,2BAL-61-Node Split,NBN Node Split DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 674,09/04/2019,23/04/2019,NBN Co,Minor Works Maximo,"ND-NSW-2KNS-62-AYCA-5E2I7I-4-6 Grosvenor St, Kensington - 1-HFC-DFN",NBN New Devs DFN HFC,"$4,236.00"
Nintey Nine Group,Inv 675,09/04/2019,23/04/2019,NBN Co,NBN A417,MW417R002916-AYCA-49ZOSX - 2ROC-60-CIE GROUP HK-HFC DFN,NBN New Devs DFN HFC,"$13,992.50"
Nintey Nine Group,Inv 676,09/04/2019,23/04/2019,NBN Co,Minor Works Maximo,"ND-NSW-2KNS-62-AYCA-5E2I7I-4-6 Grosvenor St, Kensington - 1-HFC-DFN",NBN New Devs DFN HFC,"$2,988.10"
Nintey Nine Group,Inv 677,09/04/2019,23/04/2019,NBN Co,Minor Works Maximo,"ND-ACT-9BON-03-AYCA-5W2PN2-55 Sutherland Crescent, Taylor ACT - 1- TTFN",New Devs Maximo,$600.00
