Contract,Project Name,Location,PE,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,Maximo work order,FSAM/MPS,Suburb,CSPO Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internal DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14279,17/10/2018,28/09/2018,28/09/2018,,,12/10/2018,18/10/2018,Sep-18,Oct-18,,MW22579-AYCA-4R1C1M-2RIV-07-William St Riverstone,Riverstone,$923.71,,$923.71," $	1,016.08 ",,$267.93,$267.93,$655.78,71%,Mark Leal,Direct Award,01/06/2018,,23/08/2018,83d
A417 New Devs,A417 Greenfield MDU,Central West,Marshell Antonio,Inv 14036,21/08/2018,30/07/2018,30/07/2018,01/08/2018,10/08/2018,13/08/2018,22/08/2018,Jul-18,Aug-18,,MW22580-AYCA-52S52D-2BTH-01-18 Hobson Cl Eglinton,Eglinton,"$2,924.92","$2,414.03","$5,338.95"," $	5,872.84 ",,,$0.00,"$5,338.95",100%,Ertan Cicek,Direct Award,01/06/2018,,24/08/2018,84d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,Inv 14917,18/04/2019,28/03/2019,28/03/2019,,,11/04/2019,24/04/2019,Mar-19,Apr-19,,MW417R000099-AYCA-577BDS-2BLK-07-36 Huntingwood Drive Huntingwood,Huntingwood,$856.80,,$856.80, $	942.48 ,,,$0.00,$856.80,100%,Richard Huffadine,Direct Award,01/06/2018,,08/08/2018,68d
A417 RFQ,A417 RFQ New Devs,Sth NSW,Marshell Antonio,Inv 13913,24/07/2018,18/06/2018,30/06/2018,,,02/07/2018,24/07/2018,Jun-18,Jul-18,,MW22493 - AYCA-4VG4KY - 2LTO-20 -  23-25 Chelmsford Place Leeton,Leeton,"$4,293.87",,"$4,293.87"," $	4,723.26 ",,,$0.00,"$4,293.87",100%,Dave Yoemans,23/05/2018,17/07/2018,55d,12/10/2018,87d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14201,27/09/2018,03/08/2018,03/08/2018,16/08/2018,18/09/2018,17/08/2018,27/09/2018,Aug-18,Sep-18,,"MW417R000065- AYCA-59DV6W-2CRR-72-Nelson St, Fairfield",Fairfield,"$1,156.75","$6,676.88","$7,833.63"," $	8,616.99 ","$1,502.68",,"$1,502.68","$6,330.95",81%,Ertan Cicek,Direct Award,05/06/2018,,28/06/2018,23d
A417 New Devs,A417 Greenfield MDU,Newcastle,Dane Harrington,,,20/03/2019,20/03/2019,19/03/2019,24/05/2019,03/04/2019,,Mar-19,Jan-00,,MW417R000077-AYCA-5A2Y34-2MAI-03-100 George St East Maitland ,East Maitland,$926.02,"$2,473.56","$3,399.58"," $	3,739.54 ",$980.90,,$980.90,"$2,418.68",71%,Ertan Cicek,Direct Award,05/06/2018,,29/08/2018,85d
A417 RFQ,A417 RFQ New Devs,ACT,Marshell Antonio,Inv 14008,09/08/2018,03/07/2018,23/07/2018,,,06/08/2018,09/08/2018,Jul-18,Aug-18,,MW417R000671-9SCU-20-AYCA-52JYBU 7 Buggy Crescent McKellar,Mckellar,"$20,864.64",,"$20,864.64"," $	22,951.10 ","$5,714.37",,"$5,714.37","$15,150.27",73%,Dave Yoemans,02/07/2018,23/07/2018,55,30/07/2018,7d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14004,09/08/2018,05/07/2018,05/07/2018,23/07/2018,31/07/2018,19/07/2018,09/08/2018,Jul-18,Aug-18,,MW417R000070-AYCA-52UC2N-2WRO-63-Beech Rd Casula ,Casula,"$19,385.47","-$5,701.87","$13,683.60"," $	15,051.96 ","$7,183.72",,"$7,183.72","$6,499.88",48%,Ertan Cicek,Direct Award,07/06/2018,,29/08/2018,83d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14142,11/09/2018,01/08/2018,01/08/2018,03/08/2018,30/08/2018,15/08/2018,11/09/2018,Aug-18,Sep-18,,MW22469-AYCA-4PQO3D-2EPP-62-12/6 Maida Road Epping ,Epping,"$1,077.58","$4,821.08","$5,898.66"," $	6,488.53 ","$2,546.16",,"$2,546.16","$3,352.50",57%,Ertan Cicek,Direct Award,23/05/2018,,05/08/2018,74d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13975,01/08/2018,22/06/2018,22/06/2018,25/06/2018,18/07/2018,18/07/2018,31/07/2018,Jun-18,Jul-18,,MW417R000124-AYCA-58BKNK-2RYD-66-2-6 Junction St Ryde,Ryde,"$1,064.32","$5,366.59","$6,430.91"," $	7,074.00 ","$3,823.60",,"$3,823.60","$2,607.31",41%,Ertan Cicek,Direct Award,06/06/2018,,30/08/2018,85d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13924,27/07/2018,18/06/2018,19/06/2018,27/06/2018,18/07/2018,03/07/2018,31/07/2018,Jun-18,Jul-18,,"MW417R000098-AYCA-4TC0MT-2QUA-65-50 Farnham Rd, Quakers Hill",Quakers Hill,"$8,779.84","$16,441.63","$25,221.47"," $	27,743.62 ","$17,562.26",,"$17,562.26","$7,659.21",30%,Ertan Cicek,Direct Award,08/06/2018,,30/08/2018,83d
A417 New Devs,A417 Greenfield MDU,Sydney Sth,Marshell Antonio,,,,30/06/2019,,,,,Jun-19,Jan-00,,MW417R000132-AYCA-4L3R6E-2MIR-26-4-6 Ventura Ave Miranda,Miranda,"$5,800.56",,"$5,800.56"," $	6,380.62 ",,,$0.00,"$5,800.56",100%,Ertan Cicek,Direct Award,07/06/2018,,31/08/2018,85d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,,,31/05/2019,31/05/2019,31/05/2019,,14/06/2019,28/06/2019,May-19,Jun-19,,MW417R000139-AYCA-4IIZWC-2STL-60-22-28 Albany St St Leonards ,St.Leonards,$781.39,,$781.39, $	859.53 ,"$2,626.72",,"$2,626.72","-$1,845.33",-236%,Ertan Cicek,Direct Award,07/06/2018,,31/08/2018,85d
A417 New Devs,A417 Greenfield MDU,ACT,Marshell Antonio,,,,30/12/2019,,,,,Dec-19,Jan-00,,MW417R000123-AYCA-523PM8-9MNK-01-8 Beaconsfield St Fyshwick ACT ,Fyshwick,"$6,863.96",,"$6,863.96"," $	7,550.36 ",,,$0.00,"$6,863.96",100%,Ertan Cicek,Direct Award,07/06/2018,,30/08/2018,84d
A417 New Devs,A417 Greenfield MDU,Sydney East,Dane Harrington,,,05/03/2019,05/03/2019,22/03/2019,24/05/2019,19/03/2019,,Mar-19,Jan-00,,MW417R000161-AYCA-3D0J11-2ROC-02-15-21 Willis St Wolli Creek ,Wolli Creek,"$1,641.98","$3,270.21","$4,912.19"," $	5,403.41 ","$2,685.64",,"$2,685.64","$2,226.55",45%,Ertan Cicek,Direct Award,08/06/2018,,31/08/2018,84d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13993,07/08/2018,06/07/2018,06/07/2018,09/07/2018,30/07/2018,20/07/2018,07/08/2018,Jul-18,Aug-18,,"MW417R000222-AYCA-4VFYJV-2BAN-64-27-37 Percy St, Bankstown",Bankstown,"$4,388.94","$14,761.99","$19,150.93"," $	21,066.02 ","$11,092.64",,"$11,092.64","$8,058.29",42%,Ertan Cicek,Direct Award,08/06/2018,,29/09/2018,113d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14616,16/01/2019,08/11/2018,08/11/2018,14/11/2018,18/12/2018,23/11/2018,10/01/2019,Nov-18,Jan-19,,"MW417R001737-YCA-5L49UP-2PEN-64-A4 Water Street, Wentworthville ",Wentworthville,$896.52,"$12,354.30","$13,250.82"," $	14,575.90 ",,,$0.00,"$13,250.82",100%,Ertan Cicek,Direct Award,09/10/2018,,30/11/2018,52d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14515,05/12/2018,18/10/2018,18/10/2018,23/10/2018,27/11/2018,01/11/2018,06/12/2018,Oct-18,Dec-18,,MW417R000091-AYCA-57S6JD-2REV-20-50/42 Violet St Revesby ,Revesby,"$2,570.53","$10,352.24","$12,922.77"," $	14,215.05 ","$3,384.13",$380.18,"$3,764.31","$9,158.46",71%,Ertan Cicek,Direct Award,08/06/2018,,29/08/2018,82d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14005,09/08/2018,15/06/2018,15/06/2018,15/06/2018,20/06/2018,01/08/2018,09/08/2018,Jun-18,Aug-18,,MW417R000217-AYCA-5ENHJH-2MIL-01-Browning and Colenso Cct Edmondson Park,Edmondson Park,"$2,924.92","-$2,087.42",$837.50, $	921.25 ,,,$0.00,$837.50,100%,Ertan Cicek,Direct Award,08/06/2018,,04/09/2018,88d
A417 New Devs,A417 Greenfield MDU,Central West,Marshell Antonio,Inv 14383,14/11/2018,17/09/2018,17/09/2018,18/09/2018,26/10/2018,01/10/2018,13/11/2018,Sep-18,Nov-18,,"MW417R001249-AYCA-5FHVE5-2ORG-06-71 Bletchington Street, Orange Ext",Orange,"$2,583.80","$5,218.46","$7,802.26"," $	8,582.49 ",,,$0.00,"$7,802.26",100%,Ertan Cicek,Direct Award,27/08/2018,,22/11/2018,87d
A417 New Devs,A417 HFC DFN Comm,Sydney,Mickey Tran,Inv 13742,14/06/2018,14/06/2018,14/06/2018,,,,14/06/2018,Jun-18,Jun-18,,"MW417R000157-2PAR-63-AYCA-4A46K7-208-210 Great Western Hwy, Westmead DFN Design & Construct,  Mob payment",Westmead,"$10,733.39",,"$10,733.39"," $	11,806.73 ",,,$0.00,"$10,733.39",100%,Mark Leal,Direct Award,08/06/2018,,31/08/2018,84d
A417 RFQ,A417 RFQ New Devs,Sth Coast,Mickey Tran,Inv 14770,04/03/2019,01/02/2019,01/02/2019,01/02/2019,08/02/2019,15/02/2019,05/03/2019,Feb-19,Mar-19,,"MW417R000044-AYCA-4YZZ1I-2ABN-03-149 The Boulevarde, Oak Flats",Oak Flats,"$7,574.80","$19,815.88","$27,390.68"," $	30,129.75 ",,,$0.00,"$27,390.68",100%,Andrew Mahassy,22/05/2018,25/05/2018,3d,28/06/2018,34d
A417 RFQ,A417 RFQ New Devs,Sth Coast,Mickey Tran,inv 13994,07/08/2018,04/07/2018,04/07/2018,11/07/2018,27/07/2018,18/07/2018,07/08/2018,Jul-18,Aug-18,,MW417R000063-AYCA-52381N-2SUX-01-284 River Rd Sussex Inlet ,Sussex Inlet,"$9,332.53","$1,389.86","$10,722.39"," $	11,794.63 ",,,$0.00,"$10,722.39",100%,Ertan Cicek,31/05/2018,12/06/2018,12d,04/07/2018,22d
A417 New Devs,A417 Greenfield MDU,Sydney Sth,Marshell Antonio,,,27/03/2019,27/03/2019,27/03/2019,24/05/2019,10/04/2019,,Mar-19,Jan-00,,MW417R000159-AYCA-4EZRCH-2MIR-26-1-3 Higherdale Ave Miranda,Miranda,$299.36,"$3,321.39","$3,620.75"," $	3,982.83 ","$1,128.72",,"$1,128.72","$2,492.03",69%,Ertan Cicek,Direct Award,12/06/2018,,31/08/2018,80d
A417 RFQ,A417 RFQ New Devs,Sydney,Mickey Tran,Inv 13925,26/07/2018,25/06/2018,25/06/2018,09/07/2018,11/07/2018,09/07/2018,26/07/2018,Jun-18,Jul-18,,"MW22455 -AYCA-3LT1P4 -  2KEL-08 - Sub of 123 Arnold Ave, Kellyville - 2",Kellyville,"$7,140.73","$3,918.18","$11,058.91"," $	12,164.80 ","$3,510.00",,"$3,510.00","$7,548.91",68%,Sogand Mohtat,22/05/2018,12/06/2018,21d,26/06/2018,14d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13972,01/08/2018,05/07/2018,06/07/2018,09/07/2018,26/07/2018,20/07/2018,02/08/2018,Jul-18,Aug-18,,"MW417R000223 - AYCA-5ALZB0 - 2BLK-07 - 6 Woods CL, Huntingwood  Ext",Huntingwood,"$5,802.97","$5,801.30","$11,604.27"," $	12,764.70 ","$5,337.83",,"$5,337.83","$6,266.44",54%,Ertan Cicek,Direct Award,12/06/2018,,28/09/2018,108d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13995,07/08/2018,06/07/2018,06/07/2018,10/07/2018,30/07/2018,20/07/2018,07/08/2018,Jul-18,Aug-18,,MW417R000354-AYCA-57CAFW-2CRO-01-KURNELL 2,Kurnell,"$1,791.95","$1,609.79","$3,401.74"," $	3,741.91 ","$3,351.00",,"$3,351.00",$50.74,1%,Ertan Cicek,Direct Award,26/06/2018,,28/09/2018,94d
A417 RFQ,A417 RFQ New Devs,Sth Coast,Marshell Antonio,Inv 13971,01/08/2017,11/07/2018,11/07/2018,11/07/2018,13/07/2018,25/07/2018,02/08/2018,Jul-18,Aug-18,,"MW417R000149-AYCA-4M2GZ2-2ABN-01-2 Pine Street, Albion Park Rail",Albion Park,"$7,206.99","$2,158.71","$9,365.70"," $	10,302.27 ",,,$0.00,"$9,365.70",100%,Mark Leal,04/06/2018,12/06/2018,,29/06/2018,17d
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 14271,16/10/2018,10/09/2018,10/09/2018,10/09/2018,13/09/2018,24/09/2018,18/10/2018,Sep-18,Oct-18,,MW417R000553-2NDS-01-STELLAR NPDL_MWR (A417)-Nords Wharf,Nords Wharf,"$7,432.00","$40,377.20","$47,809.20"," $	52,590.11 ","$25,665.50",,"$25,665.50","$22,143.70",46%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 13862,17/07/2018,17/07/2018,14/07/2018,,,,17/07/2018,Jul-18,Jul-18,,MW417R000553-2NDS-01-STELLAR NPDL_MWR (A417)-Nords Wharf ,Nords Wharf,"$3,185.14",,"$3,185.14"," $	3,503.65 ",,,$0.00,"$3,185.14",100%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,A417 Greenfield MDU,Sth Coast,Marshell Antonio,Inv 14617,16/01/2019,16/11/2018,16/11/2018,16/11/2018,18/12/2018,30/11/2018,10/01/2019,Nov-18,Jan-19,,"MW417R000773-AYCA-4P6YWU- 2SHH-05-11 Kite Pl, Blackbutt Externals",Blackbutt,"$2,235.65","$6,499.25","$8,734.90"," $	9,608.38 ","$3,921.90",,"$3,921.90","$4,813.00",55%,Nabeel Jaimon,Direct Award,25/07/2018,,20/10/2018,87d
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 14325,25/10/2018,20/09/2018,20/09/2018,05/10/2018,11/10/2018,04/10/2018,30/10/2018,Sep-18,Oct-18,,MW417R000554-2NYG-20-STELLAR NPDL_MWR (A417)-Nyngan ,Nyngan,"$7,014.97","$29,930.19","$36,945.16"," $	40,639.68 ","$5,204.00",,"$5,204.00","$31,741.16",86%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 13861,17/07/2018,17/07/2018,14/07/2018,,,,17/07/2018,Jul-18,Jul-18,,MW417R000554-2NYG-20-STELLAR NPDL_MWR (A417)-Nyngan,Nyngan,"$3,006.41",,"$3,006.41"," $	3,307.05 ",,,$0.00,"$3,006.41",100%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 14588,19/12/2018,23/11/2018,23/11/2018,27/11/2018,06/12/2018,28/11/2018,20/12/2018,Nov-18,Dec-18,,MW417R000556-2ORC-21-STELLAR NPDL_MWR (A417)-Orchard Hills,Orchard Hills,"$8,943.74","$58,402.84","$67,346.58"," $	74,081.24 ","$43,445.00",,"$43,445.00","$23,901.58",35%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 13868,18/07/2018,18/07/2018,14/07/2018,,,,17/07/2018,Jul-18,Jul-18,,MW417R000556-2ORC-21-STELLAR NPDL_MWR (A417)-Orchard Hills,Orchard Hills,"$3,833.03",,"$3,833.03"," $	4,216.33 ",,,$0.00,"$3,833.03",100%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 14326,26/10/2018,20/09/2018,20/09/2018,05/10/2018,11/10/2018,04/10/2018,30/10/2018,Sep-18,Oct-18,,MW417R000557-2POR-20-STELLAR NPDL_MWR (A417)-Portland,Portland,"$2,042.58","$20,329.53","$22,372.11"," $	24,609.32 ","$9,152.50",,"$9,152.50","$13,219.61",59%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 14690,01/02/2019,20/12/2018,20/12/2018,14/01/2019,17/01/2019,11/01/2019,05/02/2019,Dec-18,Feb-19,,MW417R000558 - 2SPW-20 - STELLAR NPDL_MWR (A417)-Springwood,Springwood,"$13,114.06","$40,775.74","$53,889.80"," $	59,278.78 ","$27,605.00",,"$27,605.00","$26,284.80",49%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 13869,18/07/2018,18/07/2018,14/07/2018,,,,17/07/2018,Jul-18,Jul-18,,MW417R000558 - 2SPW-20 - STELLAR NPDL_MWR (A417)-Springwood,Springwood,"$5,620.31",,"$5,620.31"," $	6,182.34 ",,,$0.00,"$5,620.31",100%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13864,03/07/2018,29/06/2018,29/06/2018,,,13/07/2018,17/07/2018,Jun-18,Jul-18,,"MW417R000218-AYCA-34MTV2-2BUR-07-133 Parramatta Rd, Homebush",Homebush,"$4,296.81",,"$4,296.81"," $	4,726.49 ","$2,484.25",,"$2,484.25","$1,812.56",42%,Ertan Cicek,Direct Award,13/06/2018,,28/09/2018,107d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,Inv 14911,15/04/2019,22/02/2019,22/02/2019,22/02/2019,26/03/2019,08/03/2019,16/04/2019,Feb-19,Apr-19,,"MW417R000238-AYCA-52OEM0-2MON-25-33 Darley St, East, Mona Vale",Mona Vale,"$1,832.88","$6,717.27","$8,550.15"," $	9,405.17 ","$1,534.79",,"$1,534.79","$7,015.36",82%,Ertan Cicek,Direct Award,14/06/2018,,28/09/2018,106d
A417 RFQ,A417 RFQ New Devs,Nth Coast,Mickey Tran,Inv 14154,17/09/2018,16/08/2018,17/08/2018,17/08/2018,31/08/2018,31/08/2018,14/09/2018,Aug-18,Sep-18,,MW417R000148-AYCA-4Z992M-2LIS-21-2A Napier St Goonellabah; 17 Blue Hills Ave Goonellabah,Goonellabah,"$16,470.77","$6,157.91","$22,628.68"," $	24,891.55 ","$10,881.50","$3,005.00","$13,886.50","$8,742.18",39%,Mark Leal,04/06/2018,19/06/2018,15d,29/06/2018,10d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13830,06/07/2018,18/06/2018,18/06/2018,,,02/07/2018,05/07/2018,Jun-18,Jul-18,,MW22264-AYCA-4YPT3F-145/129 - 2WAG-05-145 Hammond Ave East Wagga Wagga,Wagga Wagga,"$1,065.00",,"$1,065.00"," $	1,171.50 ",,,$0.00,"$1,065.00",100%,Nabeel Jaimon,19/04/2018,14/06/2018,56d,29/06/2018,15d
A417 New Devs,A417 Greenfield MDU,Central West,Marshell Antonio,,,,31/01/2020,,,,,Jan-20,Jan-00,,MW417R000280-AYCA-481ES7-2BTH-09-65 George St Bathurst Ext,Bathurst,"$1,194.07",,"$1,194.07"," $	1,313.48 ",,,$0.00,"$1,194.07",100%,Nabeel Jaimon,Direct Award,14/06/2018,,20/09/2018,98d
A417 New Devs,A417 Greenfield MDU,Sydney East,Dane Harrington,,,,30/06/2019,,,,,Jun-19,Jan-00,,MW417R000126-2HMK-02-AYCA-56Z0PS-37-49 O'Connor St Chippendale ,Chippendale,"$3,328.23",,"$3,328.23"," $	3,661.05 ",,,$0.00,"$3,328.23",100%,Ertan Cicek,Direct Award,15/06/2018,,30/08/2018,76d
A417 New Devs,A417 Greenfield MDU,Sth NSW,Marshell Antonio,Inv 14244,11/10/2018,17/09/2018,17/09/2018,18/09/2018,27/09/2018,01/10/2018,11/10/2018,Sep-18,Oct-18,,MW22573-AYCA-LYHJJ-2MTT-02-10 Cardigan St Mittagong ,Mittagong,"$1,458.46",$603.36,"$2,061.82"," $	2,268.00 ",$986.00,,$986.00,"$1,075.82",52%,Ertan Cicek,Direct Award,15/06/2018,,28/08/2018,74d
A417 RFQ,A417 RFQ New Devs,Sydney,Mickey Tran,Inv 13927,26/07/2018,27/06/2018,27/06/2018,,,11/07/2018,12/07/2018,Jun-18,Jul-18,,"MW417R000151-AYCA-4PBBAI-2RYD-01-6,8,10,12 Anderson Avenue Ryde ",Ryde,"$4,848.55",,"$4,848.55"," $	5,333.41 ",,,$0.00,"$4,848.55",100%,Ertan Cicek,Direct Award,15/06/2018,,29/06/2018,14d
A417 New Devs,A417 Greenfield MDU,Central West,Marshell Antonio,Inv 14140,11/09/2018,31/07/2018,31/07/2018,02/08/2018,30/08/2018,14/08/2018,13/09/2018,Jul-18,Sep-18,,"MW417R000299-AYCA-5AZ97T-2BTH-02-1 Wark Parade, Windradyne",Windradyne,"$6,779.46","$2,681.11","$9,460.57"," $	10,406.63 ",,,$0.00,"$9,460.57",100%,Ertan Cicek,Direct Award,15/06/2018,,28/09/2018,105d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13982,03/08/2018,04/07/2018,04/07/2018,09/07/2018,26/07/2018,18/07/2018,02/08/2018,Jul-18,Aug-18,,"MW417R000298-AYCA-5CSK69-2LIV-03-94 Flowerdale Rd, Liverpool ",Liverpool,"$3,687.45","$2,280.35","$5,967.80"," $	6,564.58 ",,,$0.00,"$5,967.80",100%,Ertan Cicek,Direct Award,15/06/2018,,28/09/2018,105d
A417 RFQ,A417 RFQ New Devs,Sydney,Mickey Tran,Inv 13833,06/07/2018,18/06/2018,18/06/2018,18/06/2018,20/06/2018,02/07/2018,05/07/2018,Jun-18,Jul-18,,"MW22481 - AYCA-4R2N0H - 2KEL-08 -6,8,9,11 John Hillas Avenue Kellyville ",Kellyville,"$3,239.95","$3,749.57","$6,989.52"," $	7,688.47 ",,"$1,627.85","$1,627.85","$5,361.67",77%,Dave Yoemans,05/06/2018,13/06/2018,,02/07/2018,19d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14240,11/10/2018,23/08/2018,29/08/2018,06/09/2018,25/09/2018,12/09/2018,16/10/2018,Aug-18,Oct-18,,"MW417R000301-AYCA-5AVN4W-2EPP-62-23-25 Forest Grove, Epping ",Epping,"$1,648.00","$15,728.34","$17,376.34"," $	19,113.97 ","$8,298.32",,"$8,298.32","$9,078.02",52%,Ertan Cicek,Direct Award,18/06/2018,,28/09/2018,102d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14152,18/09/2018,23/07/2018,24/07/2018,25/07/2018,30/08/2018,07/08/2018,13/09/2018,Jul-18,Sep-18,,"MW417R000300-AYCA-57KT5A-2PTH-02-153 Jamison Rd, Penrith",Penrith,$958.19,"$10,874.17","$11,832.36"," $	13,015.59 ",$852.56,,$852.56,"$10,979.80",93%,Ertan Cicek,Direct Award,18/06/2018,,28/08/2018,71d
A417 RFQ,A417 RFQ New Devs,Central Coast,Mickey Tran,Inv 14157,17/08/2018,24/08/2018,24/08/2018,28/08/2018,31/08/2018,07/09/2018,18/09/2018,Aug-18,Sep-18,,MW417R000246 - AYCA-4RTZSH - 2WOY-07 - 25 Phegan Street Woy Woy ,Woy Woy,"$9,674.98","$6,664.60","$16,339.58"," $	17,973.54 ","$9,666.42",,"$9,666.42","$6,673.16",41%,Ertan Cicek,18/06/2018,28/06/2018,10d,05/07/2018,7d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14022,14/08/2018,23/07/2018,24/07/2018,24/07/2018,31/07/2018,07/08/2018,14/08/2018,Jul-18,Aug-18,,"MW417R000310--AYCA-5DPOWN-2APN-01-13 Technology Dr, Appin EXT",Appin,"$7,171.07","$11,234.14","$18,405.21"," $	20,245.73 ","$15,580.43",$487.31,"$16,067.74","$2,337.47",13%,Ertan Cicek,Direct Award,20/06/2018,,28/09/2018,100d
A417 RFQ,A417 RFQ New Devs,Sth NSW,Marshell Antonio,Inv 13920,26/07/2018,21/06/2018,21/06/2018,,,05/07/2018,12/07/2018,Jun-18,Jul-18,,MW22430-AYCA-5667HJ-2WAG-01-12-16 Beetson Street Boorooma ,Boorooma,"$2,717.54",,"$2,717.54"," $	2,989.29 ",,,$0.00,"$2,717.54",100%,Sogand Mohtat,17/05/2018,22/05/2018,5d,20/06/2018,29d
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 14728,15/02/2019,08/01/2019,08/01/2019,10/01/2019,15/01/2018,22/01/2019,15/02/2019,Jan-19,Feb-19,,MW417R000559 - 2SPW-21 - STELLAR NPDL_MWR (A417)-Springwood,Springwood,"$11,393.80","$72,682.84","$84,076.64"," $	92,484.30 ","$50,110.00",,"$50,110.00","$33,966.64",40%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 13873,18/07/2018,18/07/2018,14/07/2018,,,,17/07/2018,Jul-18,Jul-18,,MW417R000559 - 2SPW-21 - STELLAR NPDL_MWR (A417)-Springwood,Springwood,"$4,883.06",,"$4,883.06"," $	5,371.36 ",,,$0.00,"$4,883.06",100%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 14589,19/12/2018,23/11/2018,23/11/2018,26/11/2018,06/12/2018,07/12/2018,20/12/2018,Nov-18,Dec-18,,MW417R000560 - 2SPW-28 - STELLAR NPDL_MWR (A417)-Springwood,Springwood,"$21,350.44","$109,618.14","$130,968.58"," $	144,065.44 ","$78,690.00",,"$78,690.00","$52,278.58",40%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 13867,18/07/2018,18/07/2018,14/07/2018,,,,17/07/2018,Jul-18,Jul-18,,MW417R000560 - 2SPW-28 - STELLAR NPDL_MWR (A417)-Springwood,Springwood,"$9,150.19",,"$9,150.19"," $	10,065.21 ",,,$0.00,"$9,150.19",100%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 14210,04/10/2018,10/09/2018,10/09/2018,10/09/2018,13/09/2018,24/09/2018,04/10/2018,Sep-18,Oct-18,,MW417R000561-2WWA-20-STELLAR NPDL_MWR (A417)-Wee Waa,Wee Waa,"$5,294.71","$14,243.93","$19,538.64"," $	21,492.50 ","$5,148.50",,"$5,148.50","$14,390.14",74%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,NBN FttC Drops,Sydney,Rob Panovski,Inv 13874,18/07/2018,18/07/2018,14/07/2018,,,,17/07/2018,Jul-18,Jul-18,,MW417R000561-2WWA-20-STELLAR NPDL_MWR (A417)-Wee Waa,Wee Waa,"$2,269.16",,"$2,269.16"," $	2,496.08 ",,,$0.00,"$2,269.16",100%,Kirsty Doyle,Direct Award,,,,
A417 New Devs,A417 Greenfield MDU,Central Coast,Dane Harrington,,,17/05/2019,30/05/2019,22/05/2019,,29/05/2019,12/06/2019,May-19,Jun-19,,MW417R000347-AYCA-397TA7-2TGL-02-6-8 Painters Lane Terrigal,Terrigal,"$4,185.90","$55,483.21","$59,669.11"," $	65,636.02 ","$31,585.62",,"$31,585.62","$28,083.49",47%,Ertan Cicek,Direct Award,25/06/2018,,19/09/2018,86d
