,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,5/13/18,5/26/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/11/18,7/16/18,7/25/18,7/26/18,7/31/18,8/13/18,8/31/18,9/3/18,9/5/18,9/11/18,9/17/18,9/20/18,9/24/18,9/25/18,9/28/18,9/30/18,10/1/18,10/12/18,10/16/18,10/25/18,10/29/18,10/31/18,11/1/18,11/6/18,11/22/18,11/23/18,11/26/18,11/30/18,12/10/18,12/31/18,(blank),Grand Total,
"MW417R000141-AYCA-4UXA3J-2ERN-03-1 and 4 Fox Glove Close, Green"," $	9,198.20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000148-AYCA-4Z992M-2LIS-21-2A Napier St Goonellabah; 17 Blue Hills Ave Goonellabah," $	10,881.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000151-AYCA-4PBBAI-2RYD-01-6,8,10,12 Anderson Avenue Ryde "," $	2,229.52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000157-AYCA-4A46K7-2PAR-63-208-210 Great Western Hwy, Westmead DFN Design & Construct"," $	47,268.20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000166-2MIR-31-STELLAR NPDL_MWR (A417)-Miranda," $	25,274.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000169-2MIR-29-STELLAR NPDL_MWR (A417)-Miranda," $	37,290.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000170-2MIR-22-STELLAR NPDL_MWR (A417)-Miranda," $	34,165.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000172-2MON-25-STELLAR NPDL_MWR (A417)-Mona Vale," $	11,850.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000174-2MIR-26-STELLAR NPDL_MWR (A417)-Miranda," $	71,034.05 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000180-2MIR-25-STELLAR NPDL_MWR (A417)-Miranda," $	195,778.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000211-AYCA-56B97M-2SEF-61-1 Tangerine St, Fairfield East"," $	2,694.03 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000218-AYCA-34MTV2-2BUR-07-133 Parramatta Rd, Homebush"," $	2,484.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000222-AYCA-4VFYJV-2BAN-64-27-37 Percy St, Bankstown"," $	11,092.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000223 - AYCA-5ALZB0 - 2BLK-07 - 6 Woods CL, Huntingwood  Ext"," $	5,337.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000243-AYCA-56I886-2ASH-64-47 Cecil St, Ashfield"," $	3,453.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000246 - AYCA-4RTZSH - 2WOY-07 - 25 Phegan Street Woy Woy ," $	9,666.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000300-AYCA-57KT5A-2PTH-02-153 Jamison Rd, Penrith", $	852.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000301-AYCA-5AVN4W-2EPP-62-23-25 Forest Grove, Epping "," $	8,298.32 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000310--AYCA-5DPOWN-2APN-01-13 Technology Dr, Appin EXT"," $	7,877.13 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000338-AYCA-54NU37-9KBA-20-427-177 Newman-Morris Circuit, Oxley, ACT"," $	9,054.28 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000346-AYCA-57CH4J-2CRO-01-8/268A Captain Cook Dr, Kurnell"," $	2,779.30 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000354-AYCA-57CAFW-2CRO-01-KURNELL 2," $	3,351.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000395 - AYCA-56PP6W-2BAN-67-55-57 Chelmsford Ave, Bankstown"," $	4,454.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000397-AYCA-5BX3DW-2NEW-23-7-9 Hutchinson St, St Peters - 1"," $	3,562.29 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000454 - AYCA-4V7F3M - 2LAK-22 - 23 Willeroo St, Lakemba", $	762.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000454 -AYCA-4V7F3M -  2LAK-22 - 23 Willeroo St, Lakemba"," $	2,464.51 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000463-AYCA-48HHL8-2MIR-28-2-22 University Rd & 660-664," $	2,586.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000494-AYCA-21R8AP-2WLG-07-12-14 New Dapto Rd Wollongong, $	680.69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000502-AYCA-4UMUPA-2KEL-07-21 Fairway Dr, Kellyville"," $	3,891.27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000536-2BGI-20-STELLAR NPDL_MWR (A417)-Boggabri," $	10,557.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000540-2CTH-20-STELLAR NPDL_MWR (A417)-Crescent Head," $	70,797.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000541-2DRG-20-STELLAR NPDL_MWR (A417)-Dorrigo," $	1,628.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000541-2DRG-20-STELLAR NPDL_MWR (A417)-Dorrigo ," $	43,326.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000545-2ERP-20-STELLAR NPDL_MWR (A417)-Eastern Creek," $	79,295.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000546-2ERP-21 STELLAR NPDL_MWR (A417)- Erskine Park," $	9,950.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000548-2LCT-01 - STELLAR NPDL_MWR (A417)-Lake Cathie," $	5,961.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000549 - 2MAN-20 - STELLAR NPDL_MWR (A417)-Manilla," $	20,445.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000550 - 2MIR-24 - STELLAR NPDL_MWR (A417)-Miranda," $	166,289.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000552-2MON-28-STELLAR NPDL_MWR (A417) - Mona Vale," $	114,423.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000553-2NDS-01-STELLAR NPDL_MWR (A417)-Nords Wharf," $	25,665.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000554-2NYG-20-STELLAR NPDL_MWR (A417)-Nyngan," $	5,204.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000554-2NYG-20-STELLAR NPDL_MWR (A417)-Nyngan ," $	13,734.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000556-2ORC-21-STELLAR NPDL_MWR (A417)-Orchard Hills," $	43,445.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000557-2POR-20-STELLAR NPDL_MWR (A417)-Portland," $	9,152.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000558 - 2SPW-20 - STELLAR NPDL_MWR (A417)-Springwood," $	10,805.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000559 - 2SPW-21 - STELLAR NPDL_MWR (A417)-Springwood," $	8,990.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000560 - 2SPW-28 - STELLAR NPDL_MWR (A417)-Springwood," $	78,690.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000561-2WWA-20-STELLAR NPDL_MWR (A417)-Wee Waa," $	5,379.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000595 - 2PTM-09 - AYCA-4OQ160 - 2PTM-09 - 3 Ocean Ridge Terrace, Port Macquarie "," $	4,994.35 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000669-AYCA-4QID92-2EAS-63-153-165 Brougham St, Woolloomooloo"," $	5,869.67 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000671-9SCU-20-AYCA-52JYBU 7 Buggy Crescent McKellar," $	5,714.37 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000704-AYCA-57Y170-2BRY-01-17 Hitchcocks Ln, Berry"," $	2,472.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000707-AYCA-4QHVO8-2CHL-07-13-15 Pacific Hwy, Gateshead"," $	11,292.03 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000708-AYCA-57DG41-2BTH-01-93 Stanley St, Bathurst Ext"," $	2,929.97 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000712-AYCA-30GQWB-2ROU-02-16-20 Withers Rd, Kellyville"," $	1,979.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000750-AYCA-4W3F0S- 51-53 Foxall Road, Kellyville "," $	3,547.88 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000755-AYCA-56GK8A-2BLR-03-79 Marmong St, Booragul"," $	2,321.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000773-AYCA-4P6YWU- 2SHH-05-11 Kite Pl, Blackbutt Externals"," $	3,921.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000775-AYCA-5A18P2-2PKE-04-249 Shellharbour Rd Warrawong," $	3,640.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000893-AYCA-59DV6W - 2CRR-72-Carramar HFC DFN," $	24,352.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000970 - AYCA-4Q27NU - 2BRG-03 - 50 Raby Rd, Gledswood Hills"," $	4,043.06 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001023-AYCA-4KNB05-2BLR-03-20 Myrtle St, Teralba"," $	1,040.76 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001041-AYCA-4H9191-2COR-03-208-210 Princes Highway, Bulli", $	328.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001042-AYCA-4KKMW0-2ROU-03-AYCA-4KKMW0- 55 Foxall Road – 3, $	706.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001092-AYCA-5GPSWE-TTFN-2CAM-20-100A- 100B Northcote Street, Canterburry"," $	1,070.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001115-AYCA-591MZC-2CRO-21-CRONULLA 88 DEVELOPMENTS ," $	3,585.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001116-AYCA-5FE5LS-2LIV-03-Hoxton Park Road, Liverpool", $	599.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001124-2ALS-01 - Alstonville," $	16,662.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001125-2BMG-20-STELLAR NPDL Bermagui," $	79,409.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001126-2GUN-01-STELLAR NPDL-Gunnedah," $	9,025.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001128 - 2HMK-04 - STELLAR NPDL_Haymarket ," $	5,745.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001129 - 2KRI-01 - STELLAR NPDL-Kurri Kurri," $	25,891.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001130-2MAC-20-STELLAR NPDL-Macksville," $	26,113.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001131-2MYA-01-STELLAR NPDL-Moruya," $	26,655.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001132-2WRD-20-STELLAR NPDL-Warialda," $	13,558.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001133-9BLC-04-STELLAR NPDL-Belconnen," $	1,512.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001134-9DKI-23-STELLAR NPDL-Deakin," $	1,882.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001136-AYCA-33L9HP-2BAN-64-Restwell & Leonard St, Bankstown DFN Design"," $	38,662.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001195--AYCA-5D4EG4-2CAS-238 Totness Court, Castle Hill "," $	3,490.36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001216 - AYCA-56GE93 - 2NMN-20 -10 Dandaloo St, Narromine"," $	3,074.22 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001241-AYCA-5MNUDQ-2KNS-03-221 Queen Street Beaconsfield NSB, $	560.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001246-AYCA-5FA5OM-2MIR-24-4-6 Crammond Boulevard, Caringbah Ext"," $	1,298.91 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001247-2WLH-20-STELLAR NPDL_MWR (A417)-Walcha," $	12,032.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001248-2MIR-21-STELLAR NPDL_MWR (A417)-Miranda," $	7,252.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001252-2KYO-20-STELLAR NPDL_MWR (A417)- Kyogle," $	1,170.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001255-9DKI-04-STELLAR NPDL_MWR (A417)-Deakin," $	21,354.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001257-2KRI-20-STELLAR NPDL_MWR (A417)-Kurri kurri," $	27,457.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001258-2ORC-22-STELLAR NPDL_MWR (A417)-Orchard Hills," $	1,520.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001260-2SWR-20-STELLAR NPDL_MWR (A417)-South West Rocks," $	11,290.75 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001261-2TTF-20-STELLAR NPDL_MWR (A417)-Tenterfield," $	21,537.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001262-2WAL-20-STELLAR NPDL_MWR (A417)-Wallerawang," $	23,171.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001335-AYCA-4RH5YY-2ROU-01-32 George St Box Hill ," $	1,787.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001352-AYCA-3JJIX9-2MIR-28-13-21 University Rd and 1-5 Pinnacle St, Miranda"," $	2,817.58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001369 - AYCA-5DL8UH - 2MRE-02 - Boland Drive Moree NSB," $	1,960.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001461-AYCA-5IWI3A-2WLL-20-26 Queen St, Stockton "," $	17,895.48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001497-AYCA-4BC964-2BLK-11-Fairwater Boulevard Blacktown," $	1,105.82 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN," $	14,100.56 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001530 - AYCA-5CXXCR - 2BTM-21 - 30 Golf Links Dr, Batemans Bay "," $	1,770.88 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001610-AYCA-5NNV14-2NBR-20-30 Barwan Street, Narrabri"," $	6,990.56 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001630 - AYCA-5PBMZD - 2URL-20 - 14 SALISBURY ST URALLA NSB," $	1,532.10 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001661-AYCA-5JRURV-9BLC-20-37 Belconnen Way, Weetangera, ACT Ext", $	300.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001670-AYCA-5ETO6E - 2TAM-07-7 Jack Smyth Drive, Hillvue ", $	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001691 - AYCA-5PYJJF - 2KCL-02 - Sailfish Way & Seaside Drive Kingscliff NSB," $	2,722.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN "," $	21,721.33 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001768-AYCA-5GWBTB-2TAH-01-4 Davies Place, Picton"," $	3,333.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001793-AYCA-4WB37J-2FRE-61-36 Pringle Ave, Belrose HFC DFN"," $	3,525.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001805-AYCA-5DVB9M-2ROC-02-4 Magdalene Terrace, Wolli Creek"," $	1,053.37 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001874 - AYCA-512UVL - 2WYO-03 - Marineres Centre of Excellence," $	3,032.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001948-2LIV-04-AYCA-5BV5Z8-SHOP M4, LEVEL 2, WESTFIELD LIVERPOOL"," $	7,903.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001950-2LIV-04-AYCA-5BV5ZG-SHOP DDS1, LEVEL 2, WESTFIELD LIVERPOOL"," $	5,106.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001951-2PTH-05-AYCA-5BXC7Q-SHOP 01A2, LEVEL 1, 585 HIGH STREET"," $	5,927.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001952-2PTH-05-AYCA-5BXC7I-SHOP A5, FLOOR 2, 585 HIGH STREET, PENRITH"," $	12,998.04 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001953-2ROC-02-AYCA-5BXC86-DAN MURPHYS, 78-98 ARNCLIFFE STREET"," $	2,000.69 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001954-2ROC-02-AYCA-5BXC8E-WOOLWORTHS, SHOP 1, 78-98 ARNCLIFFE STREET"," $	3,577.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001955-2NRN-02-AYCA-5GNS0T-SHOP 1, 11-13 MAIN STREET, MOUNT ANNAN"," $	10,825.08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001956-2CBT-02-AYCA-5GNRZH-WOOLWORTHS, SHOP MO1, MARKETFAIR"," $	6,773.24 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001958-2SHH-04-AYCA-5GNS19-SHOP 1097, 211 LAKE ENTRANCE ROAD"," $	7,245.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R001961-2ABN-02-AYCA-5GN6MZ-SHOP 2, 1 RUSSELL STREET, ALBION PARK "," $	4,841.62 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R001968 - AYCA-5N4YCV - 2BTH-02 - 5 Watt Drive Robin Hill Ext," $	1,384.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R002015-AYCA-568KCW-2GER-01-Mayflower Gerringong ," $	2,911.43 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R002021-AYCA-4IIZWC-2STL-66-28 Albany St, St Leonards DFN HFC"," $	11,225.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R002068 - AYCA-5PIVSY -2BTH-02 -  11 Lombard Drive, Robin Hill Ext"," $	3,171.20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R002226-AYCA-4PEEEK - 2RYD-63- 17-21 Ryedale Rdm West Ryde  HFC DFN," $	1,500.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nextgen BO, Upgrade ACM "," $	3,600.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs - 2BRX-01-AYCA-41AL6Q," $	104,665.70 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs - 2CAM-60-AYCA-4VCIKM," $	2,695.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs - 2NRN-05-AYCA-4B5K39, $	443.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs - 2PET-69-AYCA-3G34XT," $	22,810.11 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs 2PET-67-AYCA-4W7GEZ," $	27,635.11 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(blank), $	928.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total," $	2,495,869.52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
