,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/13/18,5/26/18,5/31/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/31/18,Grand Total,
MW21652-AYCA-2ILOMV - 2ASH-05-INFINTY - 1," $	7,676.20 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21704 - AYCA-4RDSRL - 2BLK-12-bedford gardens - 1," $	1,294.92 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21724-AYCA-3TP6RP-2SIL-04-Majors Bay Mortlake Residential ," $	3,269.94 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21756-AYCA-3K4RCM-2RIV-03-Marsden Park Tonzat Development - 2," $	9,927.23 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21820-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd, Strathfield EXT"," $	3,623.46 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21835-AYCA-4MJ7W3-2WRO-63-201 Chapel St, Armidale"," $	1,885.45 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21857-AYCA-442ZEA- 2PAR-63-2 Good st, Westmead"," $	7,231.46 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21861-AYCA-4GPKZN-2RED-03-713-717 Elizabeth St, Waterloo"," $	13,649.17 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21881-AYCA-2YGB4Y-2BLK-01-EXTERNAL," $	2,156.54 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21919-AYCA-35Q2VE-2KEL-07-9 Fairway Drive, Kellyville"," $	4,736.21 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21921-AYCA-4MOKVP-2TAR-01-22 Elwell CL, Beresfield"," $	11,377.92 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21947-AYCA-54T32P-2MIL-01-Ryan & Burrows Avenue," $	1,560.10 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21966-AYCA-52950S-2BUR-65-147 - 153 Liverpool Rd, Burwood"," $	9,477.91 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21967-AYCA-4UKN6A-2WET-65-727 The Horsley Dr, Smithfield", $	613.94 ,,,,,,,,,,,,,,,,,,,,,,,,
"MW21970-AYCA-4YZGFK-2PEN-66-51 Boronia St, South Wentworthville"," $	2,111.52 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22009-AYCA-4L6PEC-2OBA-20-Brooks close, Old Bar"," $	2,323.30 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22011-AYCA-4GRO21-2RTC-20-55 Kingston Parade, Heatherbae"," $	5,405.07 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22017-AYCA-413V2N-2HOM-03-16 - 20 Smallwood Ave, Homebush"," $	4,066.58 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22022--AYCA-3TBATE-2PAR-6111 Hassall St, Paramatta"," $	4,761.73 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22023-AYCA-48280D - 2RED-03 -  906 Bourke St, Zetland"," $	1,285.00 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22032-AYCA-4C48KZ-2MDG-01-4 Lewis Street Mudgee," $	3,773.27 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22034-AYCA-4DZ83F-2NLT-01-6 Callan Avenue Maryland ," $	3,013.08 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22055-AYCA-52ZO0L-2LID-04-32 Norval St Auburn   INT," $	1,434.40 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22057 - AYCA-4EOA07-2MIR-24 - 298-300 Taren Point Rd, Caringbah"," $	5,968.17 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22072-AYCA-4YFIWK-2HOM-03-4 EXTER RD, HOMEBUSH WEST"," $	1,639.63 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills "," $	6,489.44 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22093-AYCA-4RGB2W-2EAS-62-111-139 Darlinghurst Rd, Potts Point"," $	6,326.50 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb," $	13,346.45 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22171-AYCA-54VFA3-2COR-02- 50 Squires Cres Coledale," $	2,366.54 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22195 - AYCA-4SOX62-2LIV-03- 186 Moore St Liverpool," $	3,074.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22196 - AYCA-4VVND3 - 2ORG-01 - 258 CLERGATE RD, ORANGE"," $	8,266.83 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22208-AYCA-4PWSOZ- 2KEL-07-1B Fairway Dr Kellyville," $	1,203.80 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22218 - AYCA-4JMOL9 - 2DRU-60 - 50-52 East St, Five Dock"," $	3,140.46 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields," $	3,157.04 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22258-AYCA-4BT0OX-2RIV-02-66 Schofields Road Schofields, $	490.78 ,,,,,,,,,,,,,,,,,,,,,,,,
"MW22260-AYCA-56YKSC-2CAM-02-38 Wonga St, Canterbury"," $	1,225.45 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22265-AYCA-4R1HNT-2MIL-62-6-8 Facey Cres Lurnea ," $	6,425.20 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22279-AYCA-45Q6J5-2EPP-62-35 Oxford St Epping," $	4,453.75 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22288-AYCA-4R7UP6-2MIL-04-40 Government Rd, Hinchinbrook"," $	1,143.61 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22301-AYCA-541Y7O-2WAU-20-728-730 Beechwood," $	4,422.17 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22309-AYCA-3V5BM6-2DRU-61-197-199 Lyons Rd Drummoyne ," $	9,740.19 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22314-AYCA-4A5XPU-2BLK-11-29 Norfolk Street, Blacktown", $	306.40 ,,,,,,,,,,,,,,,,,,,,,,,,
MW22331-AYCA-3CFI3W-2EPP-05-120 Herring Road Marsfield," $	3,901.61 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22333 - AYCA-54SUCD - 2PKE-06 - Warehouse Pl Berkeley," $	1,960.00 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22336-AYCA-4MJKV1-2KMS-21-Lot 37 Springfields Drive, Greenhill"," $	3,003.86 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22347-AYCA-4XTH50-2HOM-03-31-35 Smallwood Ave Homebush ," $	6,152.49 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields," $	11,326.55 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22390-AYCA-4EE89M-2RIV-04-15 Boundary Rd Box Hill, $	976.93 ,,,,,,,,,,,,,,,,,,,,,,,,
MW22420 - AYCA-4RFDRV - 2KIA-03 - 58 Old Saddleback Road Kiama," $	5,530.26 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22454-AYCA-2CVKCU-2ROT-60-60 Wallgrove Rd Easter Creek ," $	2,361.42 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22477 - AYCA-4XVGZ8 -  2WYO-03 -140 Pacific Highway Tuggerah," $	2,358.27 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW22478 - AYCA-501QN5 - 2CAS-23 - 30 Pentonville Parade, Castle Hill "," $	1,826.69 ",,,,,,,,,,,,,,,,,,,,,,,,
MW22526-AYCA-4T7JU2-2MIR-25-13 Dudley Avenue Caringbah South ," $	3,866.63 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000051-AYCA-55JW1J-2BOT-01-180 – 188 Maroubra Rd, Maroubra "," $	3,524.25 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000065- AYCA-59DV6W-2CRR-72-Nelson St, Fairfield"," $	1,502.68 ",,,,,,,,,,,,,,,,,,,,,,,,
MW417R000070-AYCA-52UC2N-2WRO-63-Beech Rd Casula ," $	7,183.72 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000098-AYCA-4TC0MT-2QUA-65-50 Farnham Rd, Quakers Hill"," $	17,562.26 ",,,,,,,,,,,,,,,,,,,,,,,,
MW417R000124-AYCA-58BKNK-2RYD-66-2-6 Junction St Ryde," $	1,932.82 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000151-AYCA-4PBBAI-2RYD-01-6,8,10,12 Anderson Avenue Ryde "," $	2,229.52 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000222-AYCA-4VFYJV-2BAN-64-27-37 Percy St, Bankstown"," $	9,921.16 ",,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs - 2BUR-03-AYCA-2EBL4P," $	25,151.94 ",,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs - 2CAM-60-AYCA-4VCIKM," $	15,394.18 ",,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs - 2NRN-05-AYCA-4B5K39, $	443.04 ,,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs - 2PET-69-AYCA-3G34XT," $	22,810.11 ",,,,,,,,,,,,,,,,,,,,,,,,
VPL New Devs 2PET-67-AYCA-4W7GEZ," $	27,635.11 ",,,,,,,,,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total," $	1,119,750.66 ",,,,,,,,,,,,,,,,,,,,,,,,
