Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 115,1/28/18,2/28/18,NBN Co,NBN A417,MW21552 - 2KNS-21 - AYCA-4SJ1RQ 18 Armstrong St West Wollongong NSW 2500 -EXTERNAL,NBN New Devs,"$1,075.44",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 115,1/28/18,2/28/18,NBN Co,NBN A417,MW21539 - 2WLG-05 - AYCA-4SJ1RQ 18 Armstrong St West Wollongong NSW 2500 –INTERNAL,NBN New Devs,"$1,266.00",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 115,1/28/18,2/28/18,NBN Co,NBN A417,"MW21591 - AYCA-3KWVLI - 2ROU-03 - 4 Curtis Road, Kellyville - 1",NBN New Devs,$648.00,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 115,1/28/18,2/28/18,NBN Co,NBN A417,MW21611-AYCA-3K2CFZ -2CBT-05-Modco Boarding House 1,NBN New Devs,$798.75,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 115,1/28/18,2/28/18,NBN Co,NBN A417,MW21425 - AYCA-2IQYU1 - 2LIV-04 - Macquaire St Development – 1-EXTERNAL,NBN New Devs,$363.64,,,,,,,,,,,,,,,,
Cylas,Inv 1051,2/27/18,3/31/18,NBN Co,NBN A417,MW20767 - AYCA-1PM9JB - 2GRA-64 - Merrylands Rd,NBN New Devs,"$5,093.82",,,,,,,,,,,,,,,,
Altus,Inv 146792,2/4/18,3/31/18,NBN Co,NBN A417,"MW20778 - AYCA-40UXV5 - 163 Parker St, South Penrith Ext",NBN New Devs,"$9,159.28",,,,,,,,,,,,,,,,
Altus,Inv 150049,2/25/18,3/31/18,NBN Co,NBN A417,"MW20778 - AYCA-40UXV5 - 163 Parker St, South Penrith Ext",NBN New Devs,"$8,268.39",,,,,,,,,,,,,,,,
Cylas,Inv 1052,1/31/18,2/28/18,NBN Co,NBN A417,MW21457 - 2NEW-63 - AYCA-4QLE5J - Ara on Park - 1 - EXTERNAL,NBN New Devs,"$2,603.91",,,,,,,,,,,,,,,,
Cylas,Inv 1053,1/31/18,2/28/18,NBN Co,NBN A401,MW21145 - AYCA-4KU6BE -OOMWI - 2WET-20 - Seniors Housing,NBN New Devs,"$1,316.57",,,,,,,,,,,,,,,,
Cylas,Inv 1054,1/31/18,2/28/18,NBN Co,NBN A417,MW21551 - AYCA-4EN7KA - 2KNS-04 - Lewis & Co - 1,NBN New Devs,"$5,539.68",,,,,,,,,,,,,,,,
Cylas,Inv 1055,1/31/18,2/28/18,NBN Co,NBN A417,MW21108 - 2NEW-03 - AYCA-4D6F80 - Casa - Terraces ,NBN New Devs,"$6,867.81",,,,,,,,,,,,,,,,
Cylas,Inv 1057,1/31/18,2/28/18,NBN Co,NBN A417,MW21056 - AYCA-4BYB3Q -33 Dunning Ave - 1- EXTERNAL,NBN New Devs,"$7,930.55",,,,,,,,,,,,,,,,
Cylas,Inv 1058,1/31/18,2/28/18,NBN Co,NBN A417,MW21067 - 2PTH-01 - AYCA-3VF189 - 293-295 Jamison – 1 EXTERNAL,NBN New Devs,$689.79,,,,,,,,,,,,,,,,
Cylas,Inv 1059,1/31/18,2/28/18,NBN Co,NBN A417,"MW21538 - 2PAR-63-AYCA-44DU8G 8-10 FRASER ST, WESTMEAD, NSW, 2145",NBN New Devs,"$1,359.64",,,,,,,,,,,,,,,,
Cylas,Inv 1060,2/27/18,3/31/18,NBN Co,NBN Assurance,"02470125 - Lot 1, 42 Oxley Drive, Bowral, NSW 2576 (ROBINWOOD COTTAGE)",NBN Assurance,"$2,952.60",,,,,,,,,,,,,,,,
Cylas,Inv 1062,1/31/18,2/28/18,NBN Co,NBN A401,MW21464 - 2NRN-03 - AYCA-4EAKM1-63 SGR - 1- EXTERNAL,NBN New Devs,"$2,292.46",,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv  0001,1/31/18,2/28/18,NBN Co,NBN A417,MW21570 - AYCA-1L7010  - 2LID-08 - Mixed Use Development - Tower A and B,NBN New Devs,"$4,673.01",,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv  0002,1/31/18,2/28/18,NBN Co,NBN A418,"MW21537 - AYCA-424B5V- 2LID-05- 9-13 GELIBOLU PARADE, AUBURN",NBN New Devs,"$2,088.05",,,,,,,,,,,,,,,,
Altus,Inv 151016,3/4/18,4/30/18,NBN Co,NBN A417,"MW20778 - AYCA-40UXV5 - 163 Parker St, South Penrith Ext",NBN New Devs,"$8,950.71",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803795,2/23/18,3/31/18,NBN Co,NBN A401,"MW21456 - 2BLK-07-16, 51 Huntingwood Drive",NBN Minor Works,"$6,505.68",,,,,,,,,,,,,,,,
Hunter West Civil & Data,inv 0007,2/28/18,3/31/18,NBN Co,NBN A417,MW21639-AYCA-4SZLC6 -2PTH-02- William Younis - 1,NBN New Devs,$893.60,,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv 0006,2/28/18,3/31/18,NBN Co,NBN A401,MW21472 -  AYCA-4G5CSP - 2GRK-01 - 20 Stanley Street Wyongah,NBN New Devs,"$1,441.66",,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv 0005,2/28/18,3/31/18,NBN Co,NBN A401,"MW21473 - AYCA-3TNJ90-64 - 2ERN-03 - James Sea Drive, Green Point",NBN New Devs,"$1,254.18",,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv 0004,2/28/18,3/31/18,NBN Co,NBN A401,"MW21473 - AYCA-3TNJ90-64 - 2ERN-03 - James Sea Drive, Green Point",NBN New Devs,"$1,634.26",,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv 0003,2/28/18,3/31/18,NBN Co,NBN A417,MW21649- AYCA-1Y6XJM-2KIL-61-GORDON 2 – 1,NBN New Devs,"$2,015.96",,,,,,,,,,,,,,,,
Pacific Utilities,Inv 0284,3/14/18,4/30/18,NBN Co,NBN A401,"MW21456 - 2BLK-07-16, 51 Huntingwood Drive",NBN Minor Works,"$2,299.00",,,,,,,,,,,,,,,,
Friend Civil,Inv 1187,2/28/18,3/31/18,NBN Co,NBN A417,"MW21591 - AYCA-3KWVLI - 2ROU-03 - 4 Curtis Road, Kellyville - 1",NBN New Devs,"$6,420.00",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803802,3/1/18,4/30/18,NBN Co,NBN A417,MW20843 - AYCA-4EIN5M - 2KCL-02 - 171 Casuarina Way Pty Ltd - 1- EXTERNAL,NBN New Devs,"$2,399.96",,,,,,,,,,,,,,,,
Cylas,Inv 1064,3/2/18,4/30/18,NBN Co,NBN A417,MW21652-AYCA-2ILOMV - 2ASH-05-INFINTY - 1,NBN New Devs,"$1,101.34",,,,,,,,,,,,,,,,
Cylas,Inv 1082,3/26/18,4/30/18,NBN Co,NBN A417,"MW21620- AYCA-4SM2C7 - 2LIV-03-60-62 Passefield Street, Liverpool",NBN New Devs,$459.60,,,,,,,,,,,,,,,,
Cylas,Inv 1065,3/2/18,4/30/18,NBN Co,NBN A417,MW21453 - AYCA-2RVC4H - 2LIV-04 - 100 Macquarie Street Liverpool - 1- EXTERNAL,NBN New Devs,"$2,645.01",,,,,,,,,,,,,,,,
Cylas,Inv 1081,3/26/18,4/30/18,NBN Co,NBN A417,MW21556  - AYCA-1XCONO -2NEW-22 - Ablin Erskineville Pty Ltd ,NBN New Devs,"$6,208.68",,,,,,,,,,,,,,,,
Cylas,Inv 1083,3/26/18,4/30/18,NBN Co,NBN A401,MW21493 - AYCA-3O0SC6 - 2PTH-02 - Hope Gardens - 1,NBN New Devs,"$5,244.89",,,,,,,,,,,,,,,,
Cylas,Inv 1084,3/26/18,4/30/18,NBN Co,NBN A417,"MW21835-AYCA-4MJ7W3-2WRO-63-201 Chapel St, Armidale",NBN New Devs,"$1,885.45",,,,,,,,,,,,,,,,
Cylas,Inv 1085,3/26/18,4/30/18,NBN Co,NBN A401,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,NBN New Devs,"$1,805.90",,,,,,,,,,,,,,,,
Cylas,Inv 1086,3/26/18,4/30/18,NBN Co,NBN A417,MW21651-AYCA-21BAAK-2BAN-64-Stacey Apartments - 1,NBN New Devs,"$9,192.97",,,,,,,,,,,,,,,,
Cylas,Inv 1087,3/26/18,4/30/18,NBN Co,NBN A401,"INC000007076078 - Lot 10, 15 Moles Street, Albion Park,",NBN Assurance,"$1,295.00",,,,,,,,,,,,,,,,
Cylas,Inv 1088,3/26/18,4/30/18,NBN Co,NBN A401,"INC000007228306 - 2 Lovelle St, Moss Vale, NSW",NBN Assurance,"$2,849.00",,,,,,,,,,,,,,,,
Cylas,Inv 1089,3/26/18,4/30/18,NBN Co,NBN A401,"INC000007302762- Lot 81, 70 Point St, Bulli",NBN Assurance,"$1,036.00",,,,,,,,,,,,,,,,
Cylas,Inv 1090,3/26/18,4/30/18,NBN Co,NBN A401,"INC000007271428 – Lot 12, 21 Sharwood Pl, Gerringong",NBN Assurance,"$2,849.00",,,,,,,,,,,,,,,,
Cylas,Inv 1095,3/28/18,4/30/18,NBN Co,NBN A417,MW21523 - 2EPP-62 - AYCA-20PHAM-20-28 CAMBRIDGE ST EPPING,NBN New Devs,"$4,395.14",,,,,,,,,,,,,,,,
Cylas,Inv 1094,3/28/18,4/30/18,NBN Co,NBN A417,"MW21919-AYCA-35Q2VE-2KEL-07-9 Fairway Drive, Kellyville",NBN New Devs,"$4,736.21",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A417,"MW22072-AYCA-4YFIWK-2HOM-03-4 EXTER RD, HOMEBUSH WEST",NBN New Devs,"$1,639.63",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A401,MW21271 - AYCA-45TAFX  - 2MRS-03-Cooranbong - 1,NBN New Devs,"$4,446.68",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A401,"MW21642- AYCA-48KUSD-2NRN-10 - 79-85 TURNER ROAD, GREGORY HILLS",NBN New Devs,$676.50,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A417,MW21947-AYCA-54T32P-2MIL-01-Ryan & Burrows Avenue,NBN New Devs,"$1,560.10",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A401,MW21512 - AYCA-4IUR86 - 2NLT-09 - Clarendene - 1,NBN New Devs,$210.00,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A401,"MW21473 - AYCA-3TNJ90-64 - 2ERN-03 - James Sea Drive, Green Point",NBN New Devs,$210.00,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A401,MW21472 -  AYCA-4G5CSP - 2GRK-01 - 20 Stanley Street Wyongah,NBN New Devs,$210.00,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A417,MW21178 - 2LID-06 - AYCA-32WJ4A - John St - 2 - INTERNAL,NBN New Devs,"$3,248.80",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 116,3/26/18,4/30/18,NBN Co,NBN A417,MW21397 - AYCA-32WJ4A - 2LID-06 -  John St - 2- EXTERNAL,NBN New Devs,"$3,585.33",,,,,,,,,,,,,,,,
Cylas,Inv 1060,2/27/18,3/31/18,NBN Co,NBN Assurance,"INC000007044511 - Lot 857, 93 Leumeah Street, Sanctuary Point, NSW 2540",NBN Assurance,"$2,590.00",,,,,,,,,,,,,,,,
Wireless & Optical,Inv 0195,3/29/18,4/30/18,NBN Co,NBN Assurance,"INC000007403862 –  49 RACECOURSE RD, ORANGE",NBN Assurance,"$1,360.00",,,,,,,,,,,,,,,,
Cylas,Inv 1098,3/29/18,4/30/18,NBN Co,NBN A417,MW21556  - AYCA-1XCONO -2NEW-22 - Ablin Erskineville Pty Ltd ,NBN Assurance,"$3,743.08",,,,,,,,,,,,,,,,
KSJDA,Inv 18/1208,3/28/18,4/30/18,NBN Co,NBN A417,MW20843 - AYCA-4EIN5M - 2KCL-02 - 171 Casuarina Way Pty Ltd - 1- EXTERNAL,NBN Assurance,$903.00,,,,,,,,,,,,,,,,
Polite Enterprises,Inv 11892,4/3/18,5/31/18,NBN Co,NBN A401,MW21281 - AYCA-3K4RCM - Marsden Park Tonzat Development - 2,NBN New Devs,$320.00,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803851,4/5/18,5/31/18,NBN Co,NBN A401,MW20495 - 2CBT-09 - MPS-01 - FTTN-FTTB Construction ,NBN Minor Works,"$6,779.90",,,,,,,,,,,,,,,,
Hills Council,Inv 988255,4/12/18,5/31/18,NBN Co,NBN A401,MW20682 - AYCA-3NDQ7T - 2ROU-04 - 67 Barry Street,NBN New Devs,"$4,410.54",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803863,4/11/18,5/31/18,NBN Co,NBN A401,MW20627 - AYCA-40UYFT - 2PKE-06 - Berkeley ,NBN New Devs,"$2,095.98",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803862,4/11/18,5/31/18,NBN Co,NBN A401,"MW20604 - AYCA-46I5YX - 878 Pacific Hwy, Lisarow",NBN New Devs,"$1,555.96",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803861,4/11/18,5/31/18,NBN Co,NBN A417,"MW21921-AYCA-4MOKVP-2TAR-01-22 Elwell CL, Beresfield",NBN New Devs,"$5,178.10",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803859,4/11/18,5/31/18,NBN Co,NBN A401,MW21484 - AYCA-2CO7SU - 2ARM-04 - Brown - 1,NBN New Devs,"$1,546.58",,,,,,,,,,,,,,,,
Comms Connect,Inv 10387,4/10/18,5/31/18,NBN Co,NBN A401,MW22034-AYCA-4DZ83F-2NLT-01-6 Callan Avenue Maryland ,NBN New Devs,"$3,013.08",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803864,4/11/18,5/31/18,NBN Co,NBN A417,MW21092 - AYCA-1NGPGW - 2BRG-03Gledswood,NBN New Devs,"$5,068.58",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803865,4/11/18,5/31/18,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,"$7,312.00",,,,,,,,,,,,,,,,
Daen Connect,Inv 1,4/10/18,5/31/18,NBN Co,NBN A401,MW20764 - 2BLK-12-07 - Lot 21 Western MTQY/2 Rudders/Unit 40 - 15 Valediction,NBN Minor Works,$546.48,,,,,,,,,,,,,,,,
Daen Connect,Inv 2,4/10/18,5/31/18,NBN Co,NBN A401,MW20764 - 2BLK-12-07 - Lot 21 Western MTQY/2 Rudders/Unit 40 - 15 Valediction,NBN Minor Works,$546.48,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803868,4/16/18,5/31/18,NBN Co,NBN A417,MW20798 - AYCA-2LT5GF - Castlereagh Street - 1,NBN New Devs,$730.76,,,,,,,,,,,,,,,,
Comms Connect,Inv 10401,4/20/18,5/31/18,NBN Co,NBN A401,"MW22009-AYCA-4L6PEC-2OBA-20-Brooks close, Old Bar",NBN New Devs,"$2,323.30",,,,,,,,,,,,,,,,
Comms Connect,Inv 10388,4/11/18,5/31/18,NBN Co,NBN A417,"MW21921-AYCA-4MOKVP-2TAR-01-22 Elwell CL, Beresfield",NBN New Devs,"$6,199.82",,,,,,,,,,,,,,,,
Altus,Inv 158472,4/22/18,5/31/18,NBN Co,NBN A401,MW21532 - AYCA-4TBHNX - 2SHH-05 - NSB - 125 LAKE ENTRANCE - SURVEY,NBN New Devs,$682.92,,,,,,,,,,,,,,,,
Altus,Inv 157420,4/15/18,5/31/18,NBN Co,VPL New Devs,VPL New Devs - 2CAM-60-AYCA-4VCIKM,NBN New Devs,"$3,101.94",,,,,,,,,,,,,,,,
Cylas,Inv 1100,4/30/18,5/31/18,NBN Co,VPL New Devs,VPL New Devs - 2BUR-03-AYCA-2EBL4P,NBN New Devs,"$11,722.05",,,,,,,,,,,,,,,,
Cylas,Inv 1101,4/30/18,5/31/18,NBN Co,NBN A417,"MW21861-AYCA-4GPKZN-2RED-03-713-717 Elizabeth St, Waterloo",NBN New Devs,"$1,431.08",,,,,,,,,,,,,,,,
Cylas,Inv 1102,4/30/18,5/31/18,NBN Co,VPL New Devs,VPL New Devs - 2CAM-60-AYCA-4VCIKM,NBN New Devs,"$2,249.60",,,,,,,,,,,,,,,,
Cylas,Inv 1103,4/30/18,5/31/18,NBN Co,NBN A417,MW21724-AYCA-3TP6RP-2SIL-04-Majors Bay Mortlake Residential ,NBN New Devs,"$3,269.94",,,,,,,,,,,,,,,,
Cylas,Inv 1104,4/30/18,5/31/18,NBN Co,NBN A401,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,NBN New Devs,"$1,680.64",,,,,,,,,,,,,,,,
Cylas,Inv 1105,4/30/18,5/31/18,NBN Co,VPL New Devs,VPL New Devs - 2BUR-03-AYCA-2EBL4P,NBN New Devs,"$13,429.89",,,,,,,,,,,,,,,,
Cylas,Inv 1106,4/30/18,5/31/18,NBN Co,NBN A417,"MW21861-AYCA-4GPKZN-2RED-03-713-717 Elizabeth St, Waterloo",NBN New Devs,"$9,684.90",,,,,,,,,,,,,,,,
Cylas,Inv 1107,4/30/18,5/31/18,NBN Co,NBN A417,"MW21857-AYCA-442ZEA- 2PAR-63-2 Good st, Westmead",NBN New Devs,"$7,231.46",,,,,,,,,,,,,,,,
Cylas,Inv 1108,4/30/18,5/31/18,NBN Co,VPL New Devs,VPL New Devs - 2CAM-60-AYCA-4VCIKM,NBN New Devs,"$7,347.64",,,,,,,,,,,,,,,,
Cylas,Inv 1109,4/30/18,5/31/18,NBN Co,NBN A417,"MW21966-AYCA-52950S-2BUR-65-147 - 153 Liverpool Rd, Burwood",NBN New Devs,"$7,894.50",,,,,,,,,,,,,,,,
Cylas,Inv 1110,4/30/18,5/31/18,NBN Co,NBN A417,MW20116 - AYCA-3I8XUO - 2RDL-60 - Highgardens – 1- EXTERNAL,NBN New Devs,"$9,603.87",,,,,,,,,,,,,,,,
Cylas,Inv 1111,4/30/18,5/31/18,NBN Co,NBN A417,MW21652-AYCA-2ILOMV - 2ASH-05-INFINTY - 1,NBN New Devs,"$6,574.86",,,,,,,,,,,,,,,,
Cylas,Inv 1112,4/30/18,5/31/18,NBN Co,NBN A417,MW21881-AYCA-2YGB4Y-2BLK-01-EXTERNAL,NBN New Devs,"$2,156.54",,,,,,,,,,,,,,,,
Comms Connect,Inv 10441,4/30/18,5/31/18,NBN Co,NBN A401,MW22032-AYCA-4C48KZ-2MDG-01-4 Lewis Street Mudgee,NBN New Devs,"$3,773.27",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 117,4/26/18,5/31/18,NBN Co,NBN A417,"MW21861-AYCA-4GPKZN-2RED-03-713-717 Elizabeth St, Waterloo",NBN New Devs,"$2,533.19",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 117,4/26/18,5/31/18,NBN Co,NBN A417,"MW21967-AYCA-4UKN6A-2WET-65-727 The Horsley Dr, Smithfield",NBN New Devs,$613.94,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 117,4/26/18,5/31/18,NBN Co,NBN A417,"MW22017-AYCA-413V2N-2HOM-03-16 - 20 Smallwood Ave, Homebush",NBN New Devs,"$4,066.58",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 117,4/26/18,5/31/18,NBN Co,NBN A401,"MW21473 - AYCA-3TNJ90-64 - 2ERN-03 - James Sea Drive, Green Point",NBN New Devs,"$2,785.85",,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv 0008,5/3/18,6/30/18,NBN Co,NBN A401,MW21756-AYCA-3K4RCM-2RIV-03-Marsden Park Tonzat Development - 2,NBN New Devs,"$9,927.23",,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv 0009,5/3/18,6/30/18,NBN Co,NBN A417,MW21704 - AYCA-4RDSRL - 2BLK-12-bedford gardens - 1,NBN New Devs,"$1,294.92",,,,,,,,,,,,,,,,
Hunter West Civil & Data,Inv 0010,5/3/18,6/30/18,NBN Co,NBN A417,"MW21637-AYCA-4OHMS3 - 2BLK-07 -35 Holbeche road, Arndell Park - EXT",NBN New Devs,$703.20,,,,,,,,,,,,,,,,
Nintey Nine Group,Inv 553,5/12/18,5/26/18,NBN Co,NBN Project Fusion,2MON-25 Validation and GIS Services,NBN Project Fusion,"$9,760.00",,,,,,,,,,,,,,,,
Nintey Nine Group,Inv 552,4/29/18,5/13/18,NBN Co,NBN Project Fusion,2MIR-29 GIS Services,NBN Project Fusion,"$3,000.00",,,,,,,,,,,,,,,,
L&M Trenchless,Inv 4157A,5/15/18,6/30/18,NBN Co,NBN A401,MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb,NBN New Devs,"$12,047.70",,,,,,,,,,,,,,,,
L&M Trenchless,Inv 4158A,5/15/18,6/30/18,NBN Co,NBN A401,MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb,NBN New Devs,"$1,298.75",,,,,,,,,,,,,,,,
Altus,Inv 161363,5/13/18,6/30/18,NBN Co,VPL New Devs,VPL New Devs - 2PET-69-AYCA-3G34XT,NBN New Devs,"$1,954.03",,,,,,,,,,,,,,,,
Nintey Nine Group,Inv 554,5/18/18,6/1/18,NBN Co,NBN Project Fusion,2MIR-22 Validation and GIS Services,NBN Project Fusion,"$11,080.00",,,,,,,,,,,,,,,,
Comms Connect,Inv 10498,5/23/18,6/30/18,NBN Co,NBN A401,"MW22011-AYCA-4GRO21-2RTC-20-55 Kingston Parade, Heatherbae",NBN New Devs,"$5,405.07",,,,,,,,,,,,,,,,
Nintey Nine Group,Inv 556,5/24/18,6/7/18,NBN Co,NBN Project Fusion,"2MIR-26, Validation and GIS services",NBN Project Fusion,"$15,304.00",,,,,,,,,,,,,,,,
Comms Connect,Inv 10497,5/23/18,6/30/18,NBN Co,NBN A401,"MW22196 - AYCA-4VVND3 - 2ORG-01 - 258 CLERGATE RD, ORANGE",NBN New Devs,"$8,266.83",,,,,,,,,,,,,,,,
Qubicon,Inv 568,5/21/18,6/30/18,NBN Co,NBN A417,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,NBN New Devs,"$4,548.67",,,,,,,,,,,,,,,,
Qubicon,Inv 569,5/21/18,6/30/18,NBN Co,NBN A401,MW22333 - AYCA-54SUCD - 2PKE-06 - Warehouse Pl Berkeley,NBN New Devs,"$1,960.00",,,,,,,,,,,,,,,,
Corrosion Control Engineering,Inv CNI13357,5/28/18,6/30/18,NBN Co,NBN A417,"MW21820-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd, Strathfield EXT",NBN New Devs,"$1,720.00",,,,,,,,,,,,,,,,
Cylas,Inv 1115,5/30/18,6/30/18,NBN Co,NBN A417,MW22454-AYCA-2CVKCU-2ROT-60-60 Wallgrove Rd Easter Creek ,NBN New Devs,"$1,704.24",,,,,,,,,,,,,,,,
Cylas,Inv 1116,5/30/18,6/30/18,NBN Co,NBN A417,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,NBN New Devs,"$4,902.82",,,,,,,,,,,,,,,,
Cylas,Inv 1117,5/30/18,6/30/18,NBN Co,NBN A417,"MW22022--AYCA-3TBATE-2PAR-6111 Hassall St, Paramatta",NBN New Devs,"$4,761.73",,,,,,,,,,,,,,,,
Cylas,Inv 1118,5/30/18,6/30/18,NBN Co,NBN A417,MW22265-AYCA-4R1HNT-2MIL-62-6-8 Facey Cres Lurnea ,NBN New Devs,"$4,761.20",,,,,,,,,,,,,,,,
Cylas,Inv 1119,5/30/18,6/30/18,NBN Co,NBN A417,"MW21970-AYCA-4YZGFK-2PEN-66-51 Boronia St, South Wentworthville",NBN New Devs,"$2,111.52",,,,,,,,,,,,,,,,
Cylas,Inv 1120,5/30/18,6/30/18,NBN Co,NBN A417,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,NBN New Devs,"$1,875.06",,,,,,,,,,,,,,,,
Cylas,Inv 1121,5/30/18,6/30/18,NBN Co,NBN A417,MW22347-AYCA-4XTH50-2HOM-03-31-35 Smallwood Ave Homebush ,NBN New Devs,"$6,152.49",,,,,,,,,,,,,,,,
Cylas,Inv 1122,5/30/18,6/30/18,NBN Co,NBN A417,"MW22057 - AYCA-4EOA07-2MIR-24 - 298-300 Taren Point Rd, Caringbah",NBN New Devs,"$5,968.17",,,,,,,,,,,,,,,,
Cylas,Inv 1123,5/30/18,6/30/18,NBN Co,NBN A417,MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL,NBN New Devs,"$3,925.55",,,,,,,,,,,,,,,,
Cylas,Inv 1124,5/30/18,6/30/18,NBN Co,NBN A417,"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills ",NBN New Devs,"$4,066.44",,,,,,,,,,,,,,,,
Cylas,Inv 1125,5/30/18,6/30/18,NBN Co,NBN A417,"MW22093-AYCA-4RGB2W-2EAS-62-111-139 Darlinghurst Rd, Potts Point",NBN New Devs,"$6,326.50",,,,,,,,,,,,,,,,
Cylas,Inv 1126,5/30/18,6/30/18,NBN Co,NBN A417,"MW21966-AYCA-52950S-2BUR-65-147 - 153 Liverpool Rd, Burwood",NBN New Devs,"$1,583.41",,,,,,,,,,,,,,,,
Cylas,Inv 1127,5/30/18,6/30/18,NBN Co,NBN A401,"MW22478 - AYCA-501QN5 - 2CAS-23 - 30 Pentonville Parade, Castle Hill ",NBN New Devs,"$1,826.69",,,,,,,,,,,,,,,,
Cylas,Inv 1128,5/30/18,6/30/18,NBN Co,NBN A417,MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL,NBN New Devs,$726.33,,,,,,,,,,,,,,,,
Paramount Telecom,Inv 092,5/25/18,6/30/18,NBN Co,NBN A401,MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build,NBN New Devs,$300.00,,,,,,,,,,,,,,,,
Paramount Telecom,Inv 092,5/25/18,6/30/18,NBN Co,NBN Minor Works,MW21456 - 2BLK-07-16 - 51 Huntingwood Drive,NBN Minor Works,$600.00,,,,,,,,,,,,,,,,
Cylas,Inv 1129,5/31/18,6/30/18,NBN Co,VPL New Devs,VPL New Devs - 2PET-69-AYCA-3G34XT,NBN New Devs,"$7,982.82",,,,,,,,,,,,,,,,
Cylas,Inv 1130,5/31/18,6/30/18,NBN Co,VPL New Devs,VPL New Devs 2PET-67-AYCA-4W7GEZ,NBN New Devs,"$18,732.73",,,,,,,,,,,,,,,,
Cylas,Inv 1131,5/31/18,6/30/18,NBN Co,NBN A417,MW22454-AYCA-2CVKCU-2ROT-60-60 Wallgrove Rd Easter Creek ,NBN New Devs,$657.18,,,,,,,,,,,,,,,,
Canterbury Concil,Inv 2048219,5/31/18,6/30/18,NBN Co,NBN A417,MW21651-AYCA-21BAAK-2BAN-64-Stacey Apartments - 1,NBN New Devs,"$1,051.00",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 118,5/26/18,6/30/18,NBN Co,NBN A417,MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields,NBN New Devs,"$1,713.10",,,,,,,,,,,,,,,,
