Contract,Project Title,Location,,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,maximoOrderNumber,FSAM/MPS,Suburb,Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internat DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A401/Greenfield,MW20264 - 2NLB-02 - AYCA-32ARIB - Dowling St,Nth Coast,,Inv 12261,31/05/2017,18/05/2017,18/05/2017,,,30/06/2017,24/08/2017,May-17,Aug-17,,MW20264 - 2NLB-02 - AYCA-32ARIB - Dowling St,Nelson Bay,"$6,033.93",,"$6,033.93","$6,637.32",,,$0.00,"$6,033.93",100%,Mark Leal,17/11/2016,25/11/2016,8d,16/12/2016,21d
A401/Greenfield,"MW20367 - AYCA-3H6ZBG - 2NRN-03 - 61 Smeaton Grange Rd,",Sydney,,Inv 12150 & 12150b,01/06/2017,13/06/2017,14/06/2017,26/06/2017,25/07/2017,14/07/2017,15/08/2017,Jun-17,Aug-17,,"MW20367 - AYCA-3H6ZBG - 2NRN-03 - 61 Smeaton Grange Rd,",Smeaton Grange,"$2,081.76","$6,995.47","$9,077.23","$9,984.95","$1,574.16","$3,292.54","$4,866.70","$4,210.53",46%,John Luker,23/01/2017,06/02/2017,14d,21/02/2017,15d
A401/Minor works,2BLK-07  Huntingwood - Additional Variations,Sydney,,Inv 11969b,28/02/2017,14/02/2017,02/05/2017,02/05/2017,09/05/2017,16/05/2017,25/05/2017,May-17,May-17,,2BLK-07  Huntingwood - Additional Variations,Huntingwood,,$766.97,$766.97,$843.67,,,$0.00,$766.97,100%,Shaher Aslam / Jay Shrestha,02/09/2016,22/09/2016,20d,19/10/2016,27d
A401/Minor works,MW20154 - 2WLG-01 & 02,Sth Coast,,Inv 13377,15/03/2018,07/02/2018,07/02/2018,07/02/2017,20/02/2018,20/02/2018,15/03/2018,Feb-18,Mar-18,,MW20154 - 2WLG-01 & 02,Wollongong,"$5,867.23","$28,433.11","$34,300.34","$37,730.37",$254.55,,$254.55,"$34,045.79",99%,Milan Khanal,,,,,
A401/Minor works,MW20311 - 2LIV-04 - Liverpool various sites,Sydney,,Inv 12876,29/11/2017,19/09/2017,19/09/2017,,,20/11/2017,05/12/2017,Sep-17,Dec-17,,MW20311 - 2LIV-04 - Liverpool various sites,Liverpool,"$1,505.23",,"$1,505.23","$1,655.75",,,$0.00,"$1,505.23",100%,Milan Khanal,,,,,
A401/Minor works,MW20425 - 2WLG - MPS-062-144-191-190-197-241 & 2WLG-08,Sth Coast,,Inv 12812,16/11/2017,10/08/2017,10/08/2017,,,31/08/2017,21/11/2017,Aug-17,Nov-17,,MW20425 - 2WLG - MPS-062-144-191-190-197-241 & 2WLG-08,Wollongong,"$8,027.19",,"$8,027.19","$8,829.91",,,$0.00,"$8,027.19",100%,Milan Khanal,,,,,
A401/Greenfield,"MW20385 - AYCA-38OMCL - 6 Hepher Rd, Campbelltown",Sydney,,Inv 12352,26/06/2017,27/06/2017,27/06/2017,27/06/2017,22/09/2017,08/08/2017,03/10/2017,Jun-17,Oct-17,,"MW20385 - AYCA-38OMCL - 6 Hepher Rd, Campbelltown",Campbelltown,"$10,952.80","$2,567.12","$13,519.92","$14,871.91","$1,702.74",,"$1,702.74","$11,817.18",87%,Michael Tram,18/02/2017,14/03/2017,24d,15/03/2017,1d
A401/Greenfield,"MW20441 - AYCA-3KSRGR - Norberta St, The Entrance - 1",Central Coast,,Inv 12641,10/10/2017,17/07/2017,17/07/2017,14/08/2017,07/09/2017,08/08/2017,10/10/2017,Jul-17,Oct-17,,"MW20441 - AYCA-3KSRGR - Norberta St, The Entrance - 1",Long Jetty,"$8,188.78",$496.57,"$8,685.35","$9,553.89",,,$0.00,"$8,685.35",100%,Andrew Partalis,25/02/2017,13/03/2017,16d,29/03/2017,16d
A401/Greenfield,MW20386 - 2CBT-03 - AYCA-39MU9X - Macarthur Mazda,Sydney,,Inv 12262,31/05/2017,30/05/2017,30/05/2017,01/06/2017,21/06/2017,08/08/2017,15/08/2017,May-17,Aug-17,,MW20386 - 2CBT-03 - AYCA-39MU9X - Macarthur Mazda,Campbelltown,"$7,705.93","$12,720.52","$20,426.45","$22,469.10",,,$0.00,"$20,426.45",100%,Michael Tram,18/02/2017,15/03/2017,25d,10/03/2017,-5d
A401/Greenfield,MW20475 - 2ROU-03 - AYCA-3HUY3N- 4 Wickham Blvd,Sydney,,Inv 12265,31/05/2017,05/05/2017,05/05/2017,,,06/06/2017,28/07/2017,May-17,Jul-17,,MW20475 - 2ROU-03 - AYCA-3HUY3N- 4 Wickham Blvd,Rouse Hill,"$10,233.06",,"$10,233.06","$11,256.37",,,$0.00,"$10,233.06",100%,Andrew Mahassy,15/03/2017,27/03/2017,12d,29/03/2017,2d
A401/Greenfield,MW20442 - 2TGL-02 - AYCA-30RVNV - Rockpool – 1,Sydney,,Inv 12353,30/06/2017,05/06/2017,05/06/2017,25/06/2017,12/07/2017,16/06/2017,28/08/2017,Jun-17,Aug-17,,MW20442 - 2TGL-02 - AYCA-30RVNV - Rockpool – 1,Terrigal,"$1,026.44","$8,543.55","$9,569.99","$10,526.98",,,$0.00,"$9,569.99",100%,Andrew Partalis,01/03/2017,10/03/2017,9d,29/03/2017,19d
A401/Greenfield,MW20318 - AYCA-35AM2J - NENSW0608 - Yarrandale Road,Central West,,Inv 12691,11/10/2017,31/07/2017,31/07/2017,05/09/2017,11/09/2017,08/09/2017,17/10/2017,Jul-17,Oct-17,,MW20318 - AYCA-35AM2J - NENSW0608 - Yarrandale Road,Dubbo,"$16,626.70","$8,393.07","$25,019.77","$27,521.75","$2,317.00",,"$2,317.00","$22,702.77",91%,Dave Yoemans,14/12/2016,28/03/2017,104d,07/12/2016,-111d
A401/Greenfield,"MW20489 - AYCA-3ZU1PE - 89 Old Hume Highway, Camden",Sydney,,Inv 12264,31/05/2017,15/05/2017,15/05/2017,30/05/2017,26/06/2017,25/05/2017,28/07/2017,May-17,Jul-17,,"MW20489 - AYCA-3ZU1PE - 89 Old Hume Highway, Camden",Camden,"$2,091.71","$1,025.14","$3,116.85","$3,428.54",,,$0.00,"$3,116.85",100%,Nabel Jaimon,20/03/2017,07/04/2017,18d,04/04/2017,-3d
A401/Greenfield,MW20491 - AYCA-3W8T05 - 2PAR-60 - Amos St,Sydney,,Inv 12637,27/09/2017,11/08/2017,14/08/2017,,,28/08/2017,03/10/2017,Aug-17,Oct-17,,MW20491 - AYCA-3W8T05 - 2PAR-60 - Amos St,Parramatta,"$3,449.71",,"$3,449.71","$3,794.68",,,$0.00,"$3,449.71",100%,Nabel Jaimon,20/03/2017,08/04/2017,19d,05/04/2017,-3d
A401/Greenfield,MW20493 - 2KNS-02 - AYCA-1BR2R4 - Link Apartments Zetland - 1,Sydney,,Inv 12364,03/07/2017,08/06/2017,08/06/2017,15/06/2017,11/07/2017,11/07/2017,15/08/2017,Jun-17,Aug-17,,MW20493 - 2KNS-02 - AYCA-1BR2R4 - Link Apartments Zetland - 1,Zetland,"$5,062.76","$3,398.56","$8,461.32","$9,307.45",,,$0.00,"$8,461.32",100%,Lindy Chan,20/03/2017,07/04/2017,18d,05/04/2017,-2d
A401/Greenfield,MW20477 - AYCA-40BZFT - 2HOM-01 - 51-55 Homebush Rd Strathfield,Sydney,,Inv 12354,30/06/2017,14/06/2017,14/06/2017,22/06/2017,14/07/2017,07/09/2017,05/10/2017,Jun-17,Oct-17,,MW20477 - AYCA-40BZFT - 2HOM-01 - 51-55 Homebush Rd Strathfield,Strathfield,"$3,433.24","$6,774.67","$10,207.91","$11,228.70",,,$0.00,"$10,207.91",100%,Lindy Chan,17/03/2017,08/04/2017,22d,31/03/2017,-8d
A417 Greenfield MDU,MW20615 - AYCA-3ZMQUE - Grove Family Trust - 1,Sydney,,Inv 12638,27/09/2017,14/08/2017,14/08/2017,15/08/2017,04/09/2017,11/09/2017,27/09/2017,Aug-17,Sep-17,,MW20615 - AYCA-3ZMQUE - Grove Family Trust - 1,Lidcombe,"$1,761.82","$1,647.10","$3,408.92","$3,749.81",$235.00,,$235.00,"$3,173.92",93%,Andrew Partalis,,,,,
A417 Greenfield MDU,MW20620 - 2EPP-05 - AYCA-3071BP - Macquarie Park Village - 2,Sydney,,Inv 12633,27/09/2017,31/07/2017,31/07/2017,09/08/2017,04/09/2017,07/09/2017,28/09/2017,Jul-17,Sep-17,,MW20620 - 2EPP-05 - AYCA-3071BP - Macquarie Park Village - 2,Nth Ryde,$44.62,"$1,490.48","$1,535.10","$1,688.61",,,$0.00,"$1,535.10",100%,Lindy Chan,Direct Award,01/05/2017,,,
A417 Greenfield MDU,MW20628 - AYCA-32PR0X - 2ROU-03 - 21 Hezlett Rd Kellyville 1,Sydney,,Inv 12627,22/09/2017,22/08/2017,22/08/2017,28/08/2017,06/09/2017,06/09/2017,27/09/2017,Aug-17,Sep-17,,MW20628 - AYCA-32PR0X - 2ROU-03 - 21 Hezlett Rd Kellyville 1,Kellyville,"$1,520.83","$6,404.75","$7,925.58","$8,718.13","$3,682.66",,"$3,682.66","$4,242.92",54%,Andrew Partalis,,,,,
A417 Greenfield MDU,MW20644 - AYCA-35B3X9 -  Renocorp Australia Pty Ltd - 1,Sydney,,Inv 12635,27/09/2017,12/07/2017,12/07/2017,09/08/2017,04/09/2017,07/09/2017,27/09/2017,Jul-17,Sep-17,,MW20644 - AYCA-35B3X9 -  Renocorp Australia Pty Ltd - 1,Parramatta,$628.32,"$4,350.78","$4,979.10","$5,477.01",,,$0.00,"$4,979.10",100%,Lindy Chan,,,,,
A417 Greenfield MDU,MW20798 - AYCA-2LT5GF - Castlereagh Street - 1,Sydney,,Inv 12874,29/11/2017,25/09/2017,25/09/2017,27/09/2017,04/10/2017,03/10/2017,30/11/2017,Sep-17,Nov-17,,MW20798 - AYCA-2LT5GF - Castlereagh Street - 1,Liverpool,"$2,015.36","$13,856.22","$15,871.58","$17,458.74","$3,777.56",,"$3,777.56","$12,094.02",76%,Michael Tram,Direct Award,26/05/2017,,,
A417 Greenfield MDU,MW20758 -  AYCA-3ETV2Y - 2BAN-64 - 21-25 Leonard Street - 1,Sydney,,Inv 12614,25/09/2017,18/07/2017,18/07/2017,09/08/2017,23/08/2017,07/09/2017,21/09/2017,Jul-17,Sep-17,,MW20758 -  AYCA-3ETV2Y - 2BAN-64 - 21-25 Leonard Street - 1,Bankstown,"$2,121.89","$6,429.99","$8,551.88","$9,407.07",,,$0.00,"$8,551.88",100%,Andrew Partalis,Direct Award,29/05/2017,,,
A401/Greenfield,MW20552 - 2WYO-02 - AYCA-394Y1I - 13 Colonial St,Central Coast,,Inv 12260,31/05/2017,15/05/2017,15/05/2017,01/06/2017,15/06/2017,29/05/2017,28/07/2017,May-17,Jul-17,,MW20552 - 2WYO-02 - AYCA-394Y1I - 13 Colonial St,Wadalba,"$3,798.42","$3,110.87","$6,909.29","$7,600.22",,,$0.00,"$6,909.29",100%,Dave Yoemans,29/08/2016,05/04/2017,219d,,
AARnet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,Sydney,,Inv 12759,30/10/2017,30/10/2017,30/10/2017,,,,,Oct-17,Jan-00,,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,Parramatta,"$38,717.01","$29,612.84","$68,329.85","$75,162.84","$27,168.08",,"$27,168.08","$41,161.77",60%,Matt Putland,22/03/2017,10/04/2017,19d,,
A401/Minor works,MW20495 - 2CBT-09 - MPS-01 - FTTN-FTTB Construction,Sydney,,Inv 13533,25/04/2018,29/03/2018,03/04/2018,26/03/2018,17/04/2018,19/04/2018,01/05/2018,Apr-18,May-18,,MW20495 - 2CBT-09 - MPS-01 - FTTN-FTTB Construction,Campbelltown,"$12,264.47","$10,584.18","$22,848.65","$25,133.52","$12,574.74",,"$12,574.74","$10,273.91",45%,Anna Juranic,23/03/2017,07/04/2017,15d,10/04/2017,3d
A401/Greenfield,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,Sydney,,Inv 13693,06/06/2018,02/05/2018,03/05/2018,08/05/2018,09/05/2018,17/05/2018,05/06/2018,May-18,Jun-18,,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,Epping,"$6,265.77","$7,637.88","$13,903.65","$15,294.02","$3,486.54",,"$3,486.54","$10,417.11",75%,Andrew Partalis,23/03/2017,08/04/2017,16d,07/04/2017,-1d
AARnet,ICQ-459 NSW Health Auburn Hospital,Sydney,,Inv 12362,30/06/2017,07/08/2017,30/08/2017,,,,,Aug-17,Jan-00,,ICQ-459 NSW Health Auburn Hospital,Auburn,"$23,006.15",,"$23,006.15","$25,306.77","$13,667.57",,"$13,667.57","$9,338.58",41%,Matt Putland,11/04/2017,13/04/2017,,,
A417 Greenfield MDU,MW20555 - AYCA-2Q8I3Y -  2ROU-03 - 16-20 Withers Road – 3,Sydney,,Inv 12267,31/05/2017,25/05/2017,09/06/2017,,,09/06/2017,14/09/2017,Jun-17,Sep-17,,MW20555 - AYCA-2Q8I3Y -  2ROU-03 - 16-20 Withers Road – 3,Rouse Hill,"$3,030.14",,"$3,030.14","$3,333.15",,,$0.00,"$3,030.14",100%,Ertan Cicek,Direct Award,18/04/2017,,22/04/2017,4d
A417 Greenfield MDU,MW20555 - AYCA-2Q8I3Y -  2ROU-03 - 16-20 Withers Road – 3,Sydney,,Inv 12267b,30/06/2017,25/05/2017,09/06/2017,15/08/2017,28/08/2017,09/06/2017,14/09/2017,Jun-17,Sep-17,,MW20555 - AYCA-2Q8I3Y -  2ROU-03 - 16-20 Withers Road – 3,Rouse Hill,,"$1,899.06","$1,899.06","$2,088.97",,,$0.00,"$1,899.06",100%,Ertan Cicek,Direct Award,18/04/2017,,,
A401/Greenfield,MW20532 - 2WYO-01 - AYCA-47OSBM - Pacific Business Centre,Sydney,,Inv 12355,30/06/2017,08/06/2017,08/06/2017,,,11/07/2017,10/08/2017,Jun-17,Aug-17,,MW20532 - 2WYO-01 - AYCA-47OSBM - Pacific Business Centre,Wyong,"$10,229.42",,"$10,229.42","$11,252.36",$549.22,,$549.22,"$9,680.20",95%,Andrew Partalis,Direct Award,26/04/2017,,05/04/2017,-21d
A401/Greenfield,MW20543 - AYCA-3SR1C6 - 1140 Pemberton St Albury,Sth NSW,,Inv 12266,31/05/2017,26/05/2017,26/05/2017,25/06/2017,30/08/2017,14/06/2017,27/09/2017,May-17,Sep-17,,MW20543 - AYCA-3SR1C6 - 1140 Pemberton St Albury,Albury,"$4,074.14",$936.43,"$5,010.57","$5,511.62",,,$0.00,"$5,010.57",100%,Ertan Cicek,04/04/2017,26/04/2017,22d,14/04/2017,-12d
A401/Greenfield,MW20554 - 2DAP-02 - AYCA-2DO5HN - MNJG 145,Sth Coast,,Inv 12275,31/05/2017,30/05/2017,30/05/2017,30/06/2017,25/07/2017,16/06/2017,29/08/2017,May-17,Aug-17,,MW20554 - 2DAP-02 - AYCA-2DO5HN - MNJG 145,Dapto,"$2,277.51","$2,122.87","$4,400.38","$4,840.42",$235.00,,$235.00,"$4,165.38",95%,Ertan Cicek,05/04/2017,26/04/2017,21d,18/04/2017,-8d
A401/Greenfield,MW20409 - AYCA-2ONMWX -  Brookwood Estate - 2,Sth Coast,,Inv 12272,31/05/2017,02/05/2017,02/05/2017,,,15/05/2017,26/07/2017,May-17,Jul-17,,MW20409 - AYCA-2ONMWX -  Brookwood Estate - 2,Jamberoo,"$2,943.37",,"$2,943.37","$3,237.71",,,$0.00,"$2,943.37",100%,Ertan Cicek,14/02/2017,01/03/2017,15d,02/03/2017,1d
A417 Greenfield MDU,MW20649 - 2RCH-03 - AYCA-2MLHJO - Macquarie Street Subdivision,Sydney,,Inv 12363 & b,19/09/2017,14/06/2017,14/06/2017,10/08/2017,31/08/2017,11/07/2017,29/09/2017,Jun-17,Sep-17,,MW20649 - 2RCH-03 - AYCA-2MLHJO - Macquarie Street Subdivision,Richmond,$621.32,$340.31,$961.63,"$1,057.79",,,$0.00,$961.63,100%,Ertan Cicek,Direct Award,02/05/2017,,,
A401/Greenfield,MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood,Nth Coast,,Inv 12655,03/10/2017,21/07/2017,21/07/2017,05/09/2017,18/09/2017,08/08/2017,05/10/2017,Jul-17,Oct-17,,MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood,Woy Woy,"$7,728.82","$12,183.40","$19,912.22","$21,903.44","$9,914.77",,"$9,914.77","$9,997.45",50%,Mark Leal,10/04/2017,03/05/2017,23d,26/04/2017,-7d
A401/Greenfield,MW20612 - AYCA-3NXX2P - 7 Cascade Circuit Albion Park,Sth Coast,,Inv 12356,30/06/2017,19/06/2017,25/06/2017,03/07/2017,05/09/2017,09/08/2017,27/09/2017,Jun-17,Sep-17,,MW20612 - AYCA-3NXX2P - 7 Cascade Circuit Albion Park,Albion Park,"$4,242.71","$2,751.05","$6,993.76","$7,693.14",,,$0.00,"$6,993.76",100%,Ertan Cicek,19/04/2017,05/05/2017,16d,02/05/2017,-3d
A417 Greenfield MDU,"MW20673 - 2BLK-11 - AYCA-3RN6QW - 19-21 Irelands Road, Blacktown",Sydney,,Inv 12332,26/06/2017,31/05/2017,30/05/2017,,,07/06/2017,10/08/2017,May-17,Aug-17,,"MW20673 - 2BLK-11 - AYCA-3RN6QW - 19-21 Irelands Road, Blacktown",Blacktown,"$1,134.27",,"$1,134.27","$1,247.70",,,$0.00,"$1,134.27",100%,Andrew Mahassy,Direct Award,04/05/2017,,,
A401/Greenfield,MW20613 - AYCA-3CGK8N - Tulkaba View – 1,Central Coast,,Inv 12498,17/08/2017,03/07/2017,03/07/2017,,,08/08/2017,24/08/2017,Jul-17,Aug-17,,MW20613 - AYCA-3CGK8N - Tulkaba View – 1,Terabla,"$3,471.50",,"$3,471.50","$3,818.65",,,$0.00,"$3,471.50",100%,Mark Leal,19/04/2017,05/05/2017,16d,02/05/2017,-3d
A417 Greenfield MDU,MW20682 - AYCA-3NDQ7T - 2ROU-04 - 67 Barry Street,Sydney,,Inv 12357,30/06/2017,02/06/2017,01/06/2017,,,13/06/2017,10/08/2017,Jun-17,Aug-17,,MW20682 - AYCA-3NDQ7T - 2ROU-04 - 67 Barry Street,Rouse Hill,$345.37,$139.96,$485.33,$533.86,,,$0.00,$485.33,100%,Andrew Mahassy,Direct Award,04/05/2017,,,
A417 Greenfield MDU,"MW20648-2KEL-03 -AYCA-3BH4IQ - Lot A, 8 Merriville Road - 1",Sydney,,Inv 12636,27/10/2017,05/07/2017,05/07/2017,09/08/2017,11/09/2017,11/09/2017,28/09/2017,Jul-17,Sep-17,,"MW20648-2KEL-03 -AYCA-3BH4IQ - Lot A, 8 Merriville Road - 1",Kellyville,"$1,532.61","$1,946.79","$3,479.40","$3,827.34",$935.30,,$935.30,"$2,544.10",73%,Lindy Chan,Direct Award,11/05/2017,,,
A417 Greenfield MDU,"MW20652 - AYCA-1CI2SU - Jenkins - East, West & South",Sydney,,Inv 12358,30/06/2017,14/06/2017,14/06/2017,09/08/2017,14/08/2017,14/07/2017,24/08/2017,Jun-17,Aug-17,,"MW20652 - AYCA-1CI2SU - Jenkins - East, West & South",Carlingford,"$1,166.11","$7,788.37","$8,954.48","$9,849.93",,,$0.00,"$8,954.48",100%,Michael Tram,Direct Award,04/05/2017,,,
A417 Greenfield MDU,MW20669 - AYCA-47X9GS - Mackenzie Residences - Strathfield - 1,Sydney,,Inv 12712,18/10/2017,30/06/2017,01/07/2017,09/08/2017,07/09/2017,08/08/2017,24/10/2017,Jul-17,Oct-17,,MW20669 - AYCA-47X9GS - Mackenzie Residences - Strathfield - 1,Strathfield,"$1,633.80",$826.67,"$2,460.47","$2,706.52",,,$0.00,"$2,460.47",100%,Lindy Chan,Direct Award,08/05/2017,,,
A417 Greenfield MDU,MW20698 - AYCA-1SQ3K5 - 189 Macquarie Street,Sydney,,,,,30/07/2018,,,,,Jul-18,Jan-00,,MW20698 - AYCA-1SQ3K5 - 189 Macquarie Street,Parramatta,"$1,056.78",,"$1,056.78","$1,162.46",$235.00,,$235.00,$821.78,78%,Lindy Chan,Direct Award,08/05/2017,,,
A417 Greenfield MDU,"MW20686 - AYCA-1RBL6L - The North Village , Kellyville - 1",Sydney,,Inv 12600,15/09/2017,11/07/2017,11/07/2017,09/08/2017,01/09/2017,08/08/2017,21/09/2017,Jul-17,Sep-17,,"MW20686 - AYCA-1RBL6L - The North Village , Kellyville - 1",Kellyville,"$1,317.54","$7,782.07","$9,099.61","$10,009.57","$2,486.86",,"$2,486.86","$6,612.75",73%,Michael Tram,Direct Award,11/05/2017,,,
A417 Greenfield MDU,MW20692 - AYCA-2HTGPP - Scalabrini Village Residential,Sydney,,Inv 13121,23/01/2018,23/11/2017,23/11/2017,04/12/2017,08/12/2017,14/12/2017,06/02/2018,Nov-17,Feb-18,,MW20692 - AYCA-2HTGPP - Scalabrini Village Residential,Drummoyne ,"$2,134.75","$8,039.13","$10,173.88","$11,191.27","$7,738.49",,"$7,738.49","$2,435.39",24%,Michael Tram,Direct Award,26/05/2017,,,
A417 Greenfield MDU,MW20699 - AYCA-3BSZ4M - 41 & 55 Rynan Ave,Sydney,,Inv 12361 &12361b,30/06/2017,01/07/2017,30/06/2017,09/08/2017,07/09/2017,08/08/2017,14/09/2017,Jun-17,Sep-17,,MW20699 - AYCA-3BSZ4M - 41 & 55 Rynan Ave,Edmondson Park,$254.28,$780.00,"$1,034.28","$1,137.71",,,$0.00,"$1,034.28",100%,Andrew Mahassy,Direct Award,08/05/2017,,,
A417 Greenfield MDU,MW20727 - 2NRN-10 - AYCA-3UYW26 - P150 - Internals,Sydney,,Inv 12873,29/11/2017,09/08/2017,06/09/2017,,,20/09/2017,30/11/2017,Sep-17,Nov-17,,MW20727 - 2NRN-10 - AYCA-3UYW26 - P150 - Internals,Smeaton Grange,"$1,120.00",,"$1,120.00","$1,232.00",,,$0.00,"$1,120.00",100%,Nabeel Jaimon,Direct Award,11/05/2017,,30/05/2017,
A401/Greenfield,MW20660 - AYCA-45D358 NSB Albuera Close SITE SURVEY,Newcastle,,Inv 12263,31/05/2017,19/05/2017,30/05/2017,,,08/08/2017,24/08/2017,May-17,Aug-17,,MW20660 - AYCA-45D358 NSB Albuera Close SITE SURVEY,Matiland,"$2,760.00",,"$2,760.00","$3,036.00",,,$0.00,"$2,760.00",100%,Mark Leal,10/05/2017,23/05/2017,13d,,
A417 Greenfield MDU,MW20749 - 2KEL-07 - AYCA-3R9JM5 - 31 Memorial Av,Sydney,,Inv 12269,31/05/2017,31/05/2017,31/05/2017,,,09/06/2017,15/08/2017,May-17,Aug-17,,MW20749 - 2KEL-07 - AYCA-3R9JM5 - 31 Memorial Av,Kellyville,$465.57,,$465.57,$512.13,,,$0.00,$465.57,100%,Andrew Mahassy,Direct Award,17/05/2017,,,
A401/Minor works,MW20187 - 2CBT-01-14_10 & 2CBT-04-14,Sydney,,Inv 12065b,31/05/2017,31/03/2017,16/05/2017,07/07/2017,10/08/2017,20/04/2017,24/08/2017,May-17,Aug-17,,MW20187 - 2CBT-01-14_10 & 2CBT-04-14,Campbelltown,$0.00,"$39,403.65","$39,403.65","$43,344.02",,,$0.00,"$39,403.65",100%,Anna Juranic,19/10/2016,21/11/2016,33d,30/01/2017,70d
A401/Greenfield,MW20662 - 2KEL-08 - AYCA-42POJA - NSB - Memorial Ave Kelly Survey,Sydney,,Inv 12338,27/06/2017,05/06/2017,05/06/2017,,,08/08/2017,22/08/2017,Jun-17,Aug-17,,MW20662 - 2KEL-08 - AYCA-42POJA - NSB - Memorial Ave Kelly Survey,Kellyville,"$2,100.00",,"$2,100.00","$2,310.00",,,$0.00,"$2,100.00",100%,Andrew Mahassy,11/05/2017,25/05/2017,14d,30/05/2017,5d
A401/Greenfield,MW20661 - 2LIV-04 - AYCA-476RM9 - 87-91 Campbell St NSB Survey,Sydney,,Inv 12359,30/06/2017,26/06/2017,30/06/2017,,,08/08/2017,29/08/2017,Jun-17,Aug-17,,MW20661 - 2LIV-04 - AYCA-476RM9 - 87-91 Campbell St NSB Survey,Liverpool,"$2,100.00",,"$2,100.00","$2,310.00",,,$0.00,"$2,100.00",100%,Andrew Mahassy,11/05/2017,25/05/2017,14d,30/05/2017,5d
A401/Greenfield,MW20667 - AYCA-41NF6X - Non Standard Builds - Miller St    BUILD,Sth Coast,,Inv 12049b,17/08/2017,13/07/2017,18/07/2017,18/07/2017,11/08/2017,18/08/2017,19/09/2017,Jul-17,Sep-17,,MW20667 - AYCA-41NF6X - Non Standard Builds - Miller St    BUILD,Coniston,"$10,585.70","$2,720.57","$13,306.27","$14,636.90",,,$0.00,"$13,306.27",100%,Andrew Mahassy,15/05/2017,23/05/2017,8d,30/05/2017,7d
A401/Greenfield,"MW20604 - AYCA-46I5YX - 878 Pacific Hwy, Lisarow",Central Coast,,Inv 12640,11/10/2017,17/08/2017,17/08/2017,17/08/2017,11/09/2017,11/09/2017,17/10/2017,Aug-17,Oct-17,,"MW20604 - AYCA-46I5YX - 878 Pacific Hwy, Lisarow",Lisarow,"$6,610.72","$2,460.34","$9,071.06","$9,978.17","$6,348.90",,"$6,348.90","$2,722.16",30%,Dave Yoemans,19/05/2017,,,,
A401/Minor works,MW20679 - 2LJT-02 - MPS-012 - 3 Corella,Central Coast,,Inv 12360a,30/06/2017,26/06/2017,26/06/2017,20/07/2017,28/07/2017,20/07/2017,31/08/2017,Jun-17,Aug-17,,MW20679 - 2LJT-02 - MPS-012 - 3 Corella,Long Jetty,"$6,239.62","-$4,880.30","$1,359.32","$1,495.25",,,$0.00,"$1,359.32",100%,Jay Shrestha,16/05/2017,23/05/2017,7d,16/06/2017,24d
A401/Greenfield,"MW21642- AYCA-48KUSD-2NRN-10 - 79-85 TURNER ROAD, GREGORY HILLS",Sydney,,Inv 13434,27/03/2018,07/03/2018,08/03/2018,,,21/03/2018,28/03/2018,Mar-18,Mar-18,,"MW21642- AYCA-48KUSD-2NRN-10 - 79-85 TURNER ROAD, GREGORY HILLS",Gregory Hills,"$2,107.06",,"$2,107.06","$2,317.77",$676.50,,$676.50,"$1,430.56",68%,Andrew Mahassy,23/11/2017,04/01/2018,42d,10/01/2018,6d
A417 Greenfield MDU,MW20786 - 2LIV-03 - AYCA-47DIBW - Dale Development – 1,Sydney,,Inv 12588,18/09/2017,04/08/2017,04/08/2017,09/08/2017,23/08/2017,04/09/2017,21/09/2017,Aug-17,Sep-17,,MW20786 - 2LIV-03 - AYCA-47DIBW - Dale Development – 1,Liverpool,$945.25,"$2,842.35","$3,787.60","$4,166.36",,,$0.00,"$3,787.60",100%,Andrew Mahassy,Direct Award,25/05/2017,,,
A417 Greenfield MDU,MW20767 - AYCA-1PM9JB - 2GRA-64 -  Merrylands Rd,Sydney,,Inv 13399,22/03/2018,26/02/2018,27/02/2018,27/02/2018,14/03/2018,12/03/2018,22/03/2018,Feb-18,Mar-18,,MW20767 - AYCA-1PM9JB - 2GRA-64 -  Merrylands Rd,Merrylands,$982.60,"$14,413.24","$15,395.84","$16,935.42","$5,328.82",,"$5,328.82","$10,067.02",65%,Michael Tram,Direct Award,25/05/2017,,01/07/2017,37d
A401/Greenfield,"MW20725 - AYCA-3I8QKP - 6-8 Biara Street, Bargo – 11",Sydney,,Inv 12573,11/09/2017,03/07/2017,03/07/2017,03/07/2017,18/08/2017,04/09/2017,21/09/2017,Jul-17,Sep-17,,"MW20725 - AYCA-3I8QKP - 6-8 Biara Street, Bargo – 11",Bargo,"$4,091.52","$1,416.69","$5,508.21","$6,059.04",,,$0.00,"$5,508.21",100%,Ertan Cicek,18/05/2017,26/05/2017,8d,30/05/2017,4d
